,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
136,2018-07-08 08:00:00,8.0,500,600
137,2018-07-08 09:00:00,8.0,500,600
138,2018-07-08 10:00:00,8.0,500,600
139,2018-07-08 11:00:00,9.6,500,600
140,2018-07-08 12:00:00,11.2,500,600
141,2018-07-08 13:00:00,9.6,500,600
142,2018-07-08 14:00:00,8.0,500,600
143,2018-07-08 15:00:00,8.0,500,600
144,2018-07-08 16:00:00,8.0,500,600
145,2018-07-08 17:00:00,8.0,500,600
146,2018-07-08 18:00:00,9.6,500,600
147,2018-07-08 19:00:00,8.0,500,600
148,2018-07-08 20:00:00,0.0,500,600
149,2018-07-08 21:00:00,0.0,500,600
150,2018-07-08 22:00:00,0.0,500,600
151,2018-07-08 23:00:00,0.0,500,600
152,2018-07-09 00:00:00,0.0,500,600
153,2018-07-09 01:00:00,0.0,500,600
154,2018-07-09 02:00:00,0.0,500,600
155,2018-07-09 03:00:00,0.0,500,600
156,2018-07-09 04:00:00,0.0,500,600
157,2018-07-09 05:00:00,0.0,500,600
158,2018-07-09 06:00:00,0.0,500,600
159,2018-07-09 07:00:00,0.0,500,600
160,2018-07-09 08:00:00,0.0,500,600
161,2018-07-09 09:00:00,24.0,500,600
162,2018-07-09 10:00:00,19.2,500,600
163,2018-07-09 11:00:00,20.8,500,600
164,2018-07-09 12:00:00,22.4,500,600
165,2018-07-09 13:00:00,22.4,500,600
166,2018-07-09 14:00:00,22.4,500,600
167,2018-07-09 15:00:00,22.4,500,600
168,2018-07-09 16:00:00,24.0,500,600
169,2018-07-09 17:00:00,22.4,500,600
170,2018-07-09 18:00:00,12.8,500,600
171,2018-07-09 19:00:00,9.6,500,600
172,2018-07-09 20:00:00,11.2,500,600
173,2018-07-09 21:00:00,14.4,500,600
174,2018-07-09 22:00:00,16.0,500,600
175,2018-07-09 23:00:00,11.2,500,600
176,2018-07-10 00:00:00,12.8,500,600
177,2018-07-10 01:00:00,11.2,500,600
178,2018-07-10 02:00:00,0.0,500,600
179,2018-07-10 03:00:00,0.0,500,600
180,2018-07-10 04:00:00,0.0,500,600
181,2018-07-10 05:00:00,0.0,500,600
182,2018-07-10 06:00:00,0.0,500,600
183,2018-07-10 07:00:00,0.0,500,600
184,2018-07-10 08:00:00,0.0,500,600
185,2018-07-10 09:00:00,19.2,500,600
186,2018-07-10 10:00:00,24.0,500,600
187,2018-07-10 11:00:00,22.4,500,600
188,2018-07-10 12:00:00,22.4,500,600
189,2018-07-10 13:00:00,19.2,500,600
190,2018-07-10 14:00:00,19.2,500,600
191,2018-07-10 15:00:00,20.8,500,600
192,2018-07-10 16:00:00,17.6,500,600
193,2018-07-10 17:00:00,16.0,500,600
194,2018-07-10 18:00:00,6.4,500,600
195,2018-07-10 19:00:00,4.8,500,600
196,2018-07-10 20:00:00,4.8,500,600
197,2018-07-10 21:00:00,4.8,500,600
198,2018-07-10 22:00:00,4.8,500,600
199,2018-07-10 23:00:00,4.8,500,600
200,2018-07-11 00:00:00,6.4,500,600
201,2018-07-11 01:00:00,6.4,500,600
202,2018-07-11 02:00:00,9.6,500,600
203,2018-07-11 03:00:00,8.0,500,600
204,2018-07-11 04:00:00,6.4,500,600
205,2018-07-11 05:00:00,8.0,500,600
206,2018-07-11 06:00:00,4.8,500,600
207,2018-07-11 07:00:00,6.4,500,600
208,2018-07-11 08:00:00,14.4,500,600
209,2018-07-11 09:00:00,17.6,500,600
210,2018-07-11 10:00:00,16.0,500,600
211,2018-07-11 11:00:00,17.6,500,600
212,2018-07-11 12:00:00,17.6,500,600
213,2018-07-11 13:00:00,20.8,500,600
214,2018-07-11 14:00:00,19.2,500,600
215,2018-07-11 15:00:00,17.6,500,600
216,2018-07-11 16:00:00,16.0,500,600
217,2018-07-11 17:00:00,17.6,500,600
218,2018-07-11 18:00:00,6.4,500,600
219,2018-07-11 19:00:00,4.8,500,600
220,2018-07-11 20:00:00,6.4,500,600
221,2018-07-11 21:00:00,4.8,500,600
222,2018-07-11 22:00:00,4.8,500,600
223,2018-07-11 23:00:00,4.8,500,600
224,2018-07-12 00:00:00,6.4,500,600
225,2018-07-12 01:00:00,8.0,500,600
226,2018-07-12 02:00:00,8.0,500,600
227,2018-07-12 03:00:00,6.4,500,600
228,2018-07-12 04:00:00,8.0,500,600
229,2018-07-12 05:00:00,8.0,500,600
230,2018-07-12 06:00:00,4.8,500,600
231,2018-07-12 07:00:00,8.0,500,600
232,2018-07-12 08:00:00,16.0,500,600
233,2018-07-12 09:00:00,17.6,500,600
234,2018-07-12 10:00:00,19.2,500,600
235,2018-07-12 11:00:00,17.6,500,600
236,2018-07-12 12:00:00,19.2,500,600
237,2018-07-12 13:00:00,16.0,500,600
238,2018-07-12 14:00:00,19.2,500,600
239,2018-07-12 15:00:00,16.0,500,600
240,2018-07-12 16:00:00,19.2,500,600
241,2018-07-12 17:00:00,14.4,500,600
242,2018-07-12 18:00:00,4.8,500,600
243,2018-07-12 19:00:00,4.8,500,600
244,2018-07-12 20:00:00,3.2,500,600
245,2018-07-12 21:00:00,6.4,500,600
246,2018-07-12 22:00:00,4.8,500,600
247,2018-07-12 23:00:00,4.8,500,600
248,2018-07-13 00:00:00,6.4,500,600
249,2018-07-13 01:00:00,6.4,500,600
250,2018-07-13 02:00:00,8.0,500,600
251,2018-07-13 03:00:00,6.4,500,600
252,2018-07-13 04:00:00,8.0,500,600
253,2018-07-13 05:00:00,8.0,500,600
254,2018-07-13 06:00:00,3.2,500,600
255,2018-07-13 07:00:00,4.8,500,600
256,2018-07-13 08:00:00,12.8,500,600
257,2018-07-13 09:00:00,14.4,500,600
258,2018-07-13 10:00:00,19.2,500,600
259,2018-07-13 11:00:00,19.2,500,600
260,2018-07-13 12:00:00,20.8,500,600
261,2018-07-13 13:00:00,20.8,500,600
262,2018-07-13 14:00:00,20.8,500,600
263,2018-07-13 15:00:00,22.4,500,600
264,2018-07-13 16:00:00,19.2,500,600
265,2018-07-13 17:00:00,19.2,500,600
266,2018-07-13 18:00:00,6.4,500,600
267,2018-07-13 19:00:00,4.8,500,600
268,2018-07-13 20:00:00,4.8,500,600
269,2018-07-13 21:00:00,4.8,500,600
270,2018-07-13 22:00:00,3.2,500,600
271,2018-07-13 23:00:00,4.8,500,600
272,2018-07-14 00:00:00,9.6,500,600
273,2018-07-14 01:00:00,6.4,500,600
274,2018-07-14 02:00:00,8.0,500,600
275,2018-07-14 03:00:00,6.4,500,600
276,2018-07-14 04:00:00,8.0,500,600
277,2018-07-14 05:00:00,4.8,500,600
278,2018-07-14 06:00:00,4.8,500,600
279,2018-07-14 07:00:00,3.2,500,600
280,2018-07-14 08:00:00,4.8,500,600
281,2018-07-14 09:00:00,8.0,500,600
282,2018-07-14 10:00:00,17.6,500,600
283,2018-07-14 11:00:00,16.0,500,600
284,2018-07-14 12:00:00,19.2,500,600
285,2018-07-14 13:00:00,16.0,500,600
286,2018-07-14 14:00:00,17.6,500,600
287,2018-07-14 15:00:00,4.8,500,600
288,2018-07-14 16:00:00,3.2,500,600
289,2018-07-14 17:00:00,4.8,500,600
290,2018-07-14 18:00:00,3.2,500,600
291,2018-07-14 19:00:00,4.8,500,600
292,2018-07-14 20:00:00,4.8,500,600
293,2018-07-14 21:00:00,3.2,500,600
294,2018-07-14 22:00:00,4.8,500,600
295,2018-07-14 23:00:00,6.4,500,600
296,2018-07-15 00:00:00,6.4,500,600
297,2018-07-15 01:00:00,8.0,500,600
298,2018-07-15 02:00:00,6.4,500,600
299,2018-07-15 03:00:00,6.4,500,600
300,2018-07-15 04:00:00,8.0,500,600
301,2018-07-15 05:00:00,6.4,500,600
302,2018-07-15 06:00:00,3.2,500,600
303,2018-07-15 07:00:00,4.8,500,600
304,2018-07-15 08:00:00,3.2,500,600
305,2018-07-15 09:00:00,3.2,500,600
306,2018-07-15 10:00:00,4.8,500,600
307,2018-07-15 11:00:00,6.4,500,600
308,2018-07-15 12:00:00,4.8,500,600
309,2018-07-15 13:00:00,4.8,500,600
310,2018-07-15 14:00:00,4.8,500,600
311,2018-07-15 15:00:00,3.2,500,600
312,2018-07-15 16:00:00,4.8,500,600
313,2018-07-15 17:00:00,3.2,500,600
314,2018-07-15 18:00:00,4.8,500,600
315,2018-07-15 19:00:00,4.8,500,600
316,2018-07-15 20:00:00,3.2,500,600
317,2018-07-15 21:00:00,4.8,500,600
318,2018-07-15 22:00:00,4.8,500,600
319,2018-07-15 23:00:00,3.2,500,600
320,2018-07-16 00:00:00,9.6,500,600
321,2018-07-16 01:00:00,6.4,500,600
322,2018-07-16 02:00:00,8.0,500,600
323,2018-07-16 03:00:00,6.4,500,600
324,2018-07-16 04:00:00,6.4,500,600
325,2018-07-16 05:00:00,6.4,500,600
326,2018-07-16 06:00:00,3.2,500,600
327,2018-07-16 07:00:00,4.8,500,600
328,2018-07-16 08:00:00,17.6,500,600
329,2018-07-16 09:00:00,17.6,500,600
330,2018-07-16 10:00:00,17.6,500,600
331,2018-07-16 11:00:00,19.2,500,600
332,2018-07-16 12:00:00,19.2,500,600
333,2018-07-16 13:00:00,19.2,500,600
334,2018-07-16 14:00:00,17.6,500,600
335,2018-07-16 15:00:00,17.6,500,600
336,2018-07-16 16:00:00,17.6,500,600
337,2018-07-16 17:00:00,17.6,500,600
338,2018-07-16 18:00:00,6.4,500,600
339,2018-07-16 19:00:00,6.4,500,600
340,2018-07-16 20:00:00,6.4,500,600
341,2018-07-16 21:00:00,8.0,500,600
342,2018-07-16 22:00:00,6.4,500,600
343,2018-07-16 23:00:00,8.0,500,600
344,2018-07-17 00:00:00,8.0,500,600
345,2018-07-17 01:00:00,6.4,500,600
346,2018-07-17 02:00:00,9.6,500,600
347,2018-07-17 03:00:00,8.0,500,600
348,2018-07-17 04:00:00,6.4,500,600
349,2018-07-17 05:00:00,4.8,500,600
350,2018-07-17 06:00:00,6.4,500,600
351,2018-07-17 07:00:00,4.8,500,600
352,2018-07-17 08:00:00,19.2,500,600
353,2018-07-17 09:00:00,19.2,500,600
354,2018-07-17 10:00:00,19.2,500,600
355,2018-07-17 11:00:00,20.8,500,600
356,2018-07-17 12:00:00,20.8,500,600
357,2018-07-17 13:00:00,19.2,500,600
358,2018-07-17 14:00:00,22.4,500,600
359,2018-07-17 15:00:00,19.2,500,600
360,2018-07-17 16:00:00,17.6,500,600
361,2018-07-17 17:00:00,17.6,500,600
362,2018-07-17 18:00:00,8.0,500,600
363,2018-07-17 19:00:00,4.8,500,600
364,2018-07-17 20:00:00,6.4,500,600
365,2018-07-17 21:00:00,6.4,500,600
366,2018-07-17 22:00:00,4.8,500,600
367,2018-07-17 23:00:00,8.0,500,600
368,2018-07-18 00:00:00,6.4,500,600
369,2018-07-18 01:00:00,8.0,500,600
370,2018-07-18 02:00:00,6.4,500,600
371,2018-07-18 03:00:00,6.4,500,600
372,2018-07-18 04:00:00,6.4,500,600
373,2018-07-18 05:00:00,4.8,500,600
374,2018-07-18 06:00:00,6.4,500,600
375,2018-07-18 07:00:00,4.8,500,600
376,2018-07-18 08:00:00,16.0,500,600
377,2018-07-18 09:00:00,17.6,500,600
378,2018-07-18 10:00:00,16.0,500,600
379,2018-07-18 11:00:00,19.2,500,600
380,2018-07-18 12:00:00,19.2,500,600
381,2018-07-18 13:00:00,17.6,500,600
382,2018-07-18 14:00:00,16.0,500,600
383,2018-07-18 15:00:00,17.6,500,600
384,2018-07-18 16:00:00,17.6,500,600
385,2018-07-18 17:00:00,17.6,500,600
386,2018-07-18 18:00:00,4.8,500,600
387,2018-07-18 19:00:00,4.8,500,600
388,2018-07-18 20:00:00,4.8,500,600
389,2018-07-18 21:00:00,6.4,500,600
390,2018-07-18 22:00:00,4.8,500,600
391,2018-07-18 23:00:00,6.4,500,600
392,2018-07-19 00:00:00,6.4,500,600
393,2018-07-19 01:00:00,6.4,500,600
394,2018-07-19 02:00:00,4.8,500,600
395,2018-07-19 03:00:00,6.4,500,600
396,2018-07-19 04:00:00,6.4,500,600
397,2018-07-19 05:00:00,4.8,500,600
398,2018-07-19 06:00:00,4.8,500,600
399,2018-07-19 07:00:00,8.0,500,600
400,2018-07-19 08:00:00,16.0,500,600
401,2018-07-19 09:00:00,20.8,500,600
402,2018-07-19 10:00:00,19.2,500,600
403,2018-07-19 11:00:00,17.6,500,600
404,2018-07-19 12:00:00,16.0,500,600
405,2018-07-19 13:00:00,17.6,500,600
406,2018-07-19 14:00:00,16.0,500,600
407,2018-07-19 15:00:00,20.8,500,600
408,2018-07-19 16:00:00,19.2,500,600
409,2018-07-19 17:00:00,17.6,500,600
410,2018-07-19 18:00:00,4.8,500,600
411,2018-07-19 19:00:00,3.2,500,600
412,2018-07-19 20:00:00,4.8,500,600
413,2018-07-19 21:00:00,4.8,500,600
414,2018-07-19 22:00:00,4.8,500,600
415,2018-07-19 23:00:00,4.8,500,600
416,2018-07-20 00:00:00,6.4,500,600
417,2018-07-20 01:00:00,4.8,500,600
418,2018-07-20 02:00:00,6.4,500,600
419,2018-07-20 03:00:00,6.4,500,600
420,2018-07-20 04:00:00,6.4,500,600
421,2018-07-20 05:00:00,6.4,500,600
422,2018-07-20 06:00:00,3.2,500,600
423,2018-07-20 07:00:00,11.2,500,600
424,2018-07-20 08:00:00,17.6,500,600
425,2018-07-20 09:00:00,17.6,500,600
426,2018-07-20 10:00:00,17.6,500,600
427,2018-07-20 11:00:00,17.6,500,600
428,2018-07-20 12:00:00,20.8,500,600
429,2018-07-20 13:00:00,19.2,500,600
430,2018-07-20 14:00:00,20.8,500,600
431,2018-07-20 15:00:00,22.4,500,600
432,2018-07-20 16:00:00,20.8,500,600
433,2018-07-20 17:00:00,20.8,500,600
434,2018-07-20 18:00:00,6.4,500,600
435,2018-07-20 19:00:00,6.4,500,600
436,2018-07-20 20:00:00,6.4,500,600
437,2018-07-20 21:00:00,6.4,500,600
438,2018-07-20 22:00:00,8.0,500,600
439,2018-07-20 23:00:00,8.0,500,600
440,2018-07-21 00:00:00,6.4,500,600
441,2018-07-21 01:00:00,6.4,500,600
442,2018-07-21 02:00:00,6.4,500,600
443,2018-07-21 03:00:00,8.0,500,600
444,2018-07-21 04:00:00,6.4,500,600
445,2018-07-21 05:00:00,6.4,500,600
446,2018-07-21 06:00:00,4.8,500,600
447,2018-07-21 07:00:00,4.8,500,600
448,2018-07-21 08:00:00,4.8,500,600
449,2018-07-21 09:00:00,8.0,500,600
450,2018-07-21 10:00:00,24.0,500,600
451,2018-07-21 11:00:00,22.4,500,600
452,2018-07-21 12:00:00,22.4,500,600
453,2018-07-21 13:00:00,20.8,500,600
454,2018-07-21 14:00:00,19.2,500,600
455,2018-07-21 15:00:00,8.0,500,600
456,2018-07-21 16:00:00,4.8,500,600
457,2018-07-21 17:00:00,4.8,500,600
458,2018-07-21 18:00:00,6.4,500,600
459,2018-07-21 19:00:00,4.8,500,600
460,2018-07-21 20:00:00,4.8,500,600
461,2018-07-21 21:00:00,6.4,500,600
462,2018-07-21 22:00:00,6.4,500,600
463,2018-07-21 23:00:00,4.8,500,600
464,2018-07-22 00:00:00,6.4,500,600
465,2018-07-22 01:00:00,6.4,500,600
466,2018-07-22 02:00:00,6.4,500,600
467,2018-07-22 03:00:00,4.8,500,600
468,2018-07-22 04:00:00,6.4,500,600
469,2018-07-22 05:00:00,4.8,500,600
470,2018-07-22 06:00:00,4.8,500,600
471,2018-07-22 07:00:00,3.2,500,600
472,2018-07-22 08:00:00,4.8,500,600
473,2018-07-22 09:00:00,4.8,500,600
474,2018-07-22 10:00:00,4.8,500,600
475,2018-07-22 11:00:00,3.2,500,600
476,2018-07-22 12:00:00,4.8,500,600
477,2018-07-22 13:00:00,3.2,500,600
478,2018-07-22 14:00:00,4.8,500,600
479,2018-07-22 15:00:00,4.8,500,600
480,2018-07-22 16:00:00,4.8,500,600
481,2018-07-22 17:00:00,4.8,500,600
482,2018-07-22 18:00:00,4.8,500,600
483,2018-07-22 19:00:00,6.4,500,600
484,2018-07-22 20:00:00,4.8,500,600
485,2018-07-22 21:00:00,6.4,500,600
486,2018-07-22 22:00:00,6.4,500,600
487,2018-07-22 23:00:00,4.8,500,600
488,2018-07-23 00:00:00,6.4,500,600
489,2018-07-23 01:00:00,6.4,500,600
490,2018-07-23 02:00:00,6.4,500,600
491,2018-07-23 03:00:00,4.8,500,600
492,2018-07-23 04:00:00,6.4,500,600
493,2018-07-23 05:00:00,4.8,500,600
494,2018-07-23 06:00:00,4.8,500,600
495,2018-07-23 07:00:00,4.8,500,600
496,2018-07-23 08:00:00,20.8,500,600
497,2018-07-23 09:00:00,22.4,500,600
498,2018-07-23 10:00:00,20.8,500,600
499,2018-07-23 11:00:00,20.8,500,600
500,2018-07-23 12:00:00,20.8,500,600
501,2018-07-23 13:00:00,20.8,500,600
502,2018-07-23 14:00:00,20.8,500,600
503,2018-07-23 15:00:00,22.4,500,600
504,2018-07-23 16:00:00,22.4,500,600
505,2018-07-23 17:00:00,17.6,500,600
506,2018-07-23 18:00:00,6.4,500,600
507,2018-07-23 19:00:00,6.4,500,600
508,2018-07-23 20:00:00,8.0,500,600
509,2018-07-23 21:00:00,8.0,500,600
510,2018-07-23 22:00:00,4.8,500,600
511,2018-07-23 23:00:00,6.4,500,600
512,2018-07-24 00:00:00,8.0,500,600
513,2018-07-24 01:00:00,8.0,500,600
514,2018-07-24 02:00:00,8.0,500,600
515,2018-07-24 03:00:00,6.4,500,600
516,2018-07-24 04:00:00,4.8,500,600
517,2018-07-24 05:00:00,6.4,500,600
518,2018-07-24 06:00:00,4.8,500,600
519,2018-07-24 07:00:00,6.4,500,600
520,2018-07-24 08:00:00,22.4,500,600
521,2018-07-24 09:00:00,20.8,500,600
522,2018-07-24 10:00:00,20.8,500,600
523,2018-07-24 11:00:00,20.8,500,600
524,2018-07-24 12:00:00,20.8,500,600
525,2018-07-24 13:00:00,20.8,500,600
526,2018-07-24 14:00:00,20.8,500,600
527,2018-07-24 15:00:00,19.2,500,600
528,2018-07-24 16:00:00,20.8,500,600
529,2018-07-24 17:00:00,16.0,500,600
530,2018-07-24 18:00:00,6.4,500,600
531,2018-07-24 19:00:00,6.4,500,600
532,2018-07-24 20:00:00,6.4,500,600
533,2018-07-24 21:00:00,6.4,500,600
534,2018-07-24 22:00:00,4.8,500,600
535,2018-07-24 23:00:00,6.4,500,600
536,2018-07-25 00:00:00,6.4,500,600
537,2018-07-25 01:00:00,6.4,500,600
538,2018-07-25 02:00:00,6.4,500,600
539,2018-07-25 03:00:00,6.4,500,600
540,2018-07-25 04:00:00,6.4,500,600
541,2018-07-25 05:00:00,4.8,500,600
542,2018-07-25 06:00:00,4.8,500,600
543,2018-07-25 07:00:00,4.8,500,600
544,2018-07-25 08:00:00,24.0,500,600
545,2018-07-25 09:00:00,22.4,500,600
546,2018-07-25 10:00:00,19.2,500,600
547,2018-07-25 11:00:00,19.2,500,600
548,2018-07-25 12:00:00,20.8,500,600
549,2018-07-25 13:00:00,20.8,500,600
550,2018-07-25 14:00:00,20.8,500,600
551,2018-07-25 15:00:00,20.8,500,600
552,2018-07-25 16:00:00,22.4,500,600
