Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
2018-01-02 17:00:00,16.0,1250,1500
2018-01-02 18:00:00,225.0,1250,1500
2018-01-02 19:00:00,165.0,1250,1500
2018-01-02 20:00:00,180.0,1250,1500
2018-01-02 21:00:00,175.0,1250,1500
2018-01-02 22:00:00,180.0,1250,1500
2018-01-02 23:00:00,195.0,1250,1500
2018-01-03 00:00:00,185.0,1250,1500
2018-01-03 01:00:00,185.0,1250,1500
2018-01-03 02:00:00,180.0,1250,1500
2018-01-03 03:00:00,175.0,1250,1500
2018-01-03 04:00:00,185.0,1250,1500
2018-01-03 05:00:00,165.0,1250,1500
2018-01-03 06:00:00,175.0,1250,1500
2018-01-03 07:00:00,205.0,1250,1500
2018-01-03 08:00:00,265.0,1250,1500
2018-01-03 09:00:00,255.0,1250,1500
2018-01-03 10:00:00,320.0,1250,1500
2018-01-03 11:00:00,240.0,1250,1500
2018-01-03 12:00:00,215.0,1250,1500
2018-01-03 13:00:00,245.0,1250,1500
2018-01-03 14:00:00,240.0,1250,1500
2018-01-03 15:00:00,235.0,1250,1500
2018-01-03 16:00:00,250.0,1250,1500
2018-01-03 17:00:00,305.0,1250,1500
2018-01-03 18:00:00,245.0,1250,1500
2018-01-03 19:00:00,190.0,1250,1500
2018-01-03 20:00:00,90.0,1250,1500
2018-01-03 21:00:00,135.0,1250,1500
2018-01-03 22:00:00,135.0,1250,1500
2018-01-03 23:00:00,130.0,1250,1500
2018-01-04 00:00:00,135.0,1250,1500
2018-01-04 01:00:00,130.0,1250,1500
2018-01-04 02:00:00,130.0,1250,1500
2018-01-04 03:00:00,155.0,1250,1500
2018-01-04 04:00:00,130.0,1250,1500
2018-01-04 05:00:00,160.0,1250,1500
2018-01-04 06:00:00,125.0,1250,1500
2018-01-04 07:00:00,195.0,1250,1500
2018-01-04 08:00:00,210.0,1250,1500
2018-01-04 09:00:00,270.0,1250,1500
2018-01-04 10:00:00,210.0,1250,1500
2018-01-04 11:00:00,225.0,1250,1500
2018-01-04 12:00:00,200.0,1250,1500
2018-01-04 13:00:00,225.0,1250,1500
2018-01-04 14:00:00,265.0,1250,1500
2018-01-04 15:00:00,260.0,1250,1500
2018-01-04 16:00:00,280.0,1250,1500
2018-01-04 17:00:00,160.0,1250,1500
2018-01-04 18:00:00,135.0,1250,1500
2018-01-04 19:00:00,130.0,1250,1500
2018-01-04 20:00:00,125.0,1250,1500
2018-01-04 21:00:00,130.0,1250,1500
2018-01-04 22:00:00,130.0,1250,1500
2018-01-04 23:00:00,140.0,1250,1500
2018-01-05 00:00:00,140.0,1250,1500
2018-01-05 01:00:00,135.0,1250,1500
2018-01-05 02:00:00,135.0,1250,1500
2018-01-05 03:00:00,135.0,1250,1500
