,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
119,2018-01-05 23:00:00,70.4,315,378
120,2018-01-06 00:00:00,70.4,315,378
121,2018-01-06 01:00:00,65.6,315,378
122,2018-01-06 02:00:00,70.4,315,378
123,2018-01-06 03:00:00,70.4,315,378
124,2018-01-06 04:00:00,64.0,315,378
125,2018-01-06 05:00:00,68.8,315,378
126,2018-01-06 06:00:00,65.6,315,378
127,2018-01-06 07:00:00,68.8,315,378
128,2018-01-06 08:00:00,67.2,315,378
129,2018-01-06 09:00:00,73.6,315,378
130,2018-01-06 10:00:00,78.4,315,378
131,2018-01-06 11:00:00,75.2,315,378
132,2018-01-06 12:00:00,80.0,315,378
133,2018-01-06 13:00:00,91.2,315,378
134,2018-01-06 14:00:00,80.0,315,378
135,2018-01-06 15:00:00,83.2,315,378
136,2018-01-06 16:00:00,83.2,315,378
137,2018-01-06 17:00:00,84.8,315,378
138,2018-01-06 18:00:00,84.8,315,378
139,2018-01-06 19:00:00,100.8,315,378
140,2018-01-06 20:00:00,88.0,315,378
141,2018-01-06 21:00:00,91.2,315,378
142,2018-01-06 22:00:00,96.0,315,378
143,2018-01-06 23:00:00,89.6,315,378
144,2018-01-07 00:00:00,83.2,315,378
145,2018-01-07 01:00:00,94.4,315,378
146,2018-01-07 02:00:00,84.8,315,378
147,2018-01-07 03:00:00,84.8,315,378
148,2018-01-07 04:00:00,80.0,315,378
149,2018-01-07 05:00:00,84.8,315,378
150,2018-01-07 06:00:00,80.0,315,378
151,2018-01-07 07:00:00,84.8,315,378
152,2018-01-07 08:00:00,81.6,315,378
153,2018-01-07 09:00:00,94.4,315,378
154,2018-01-07 10:00:00,100.8,315,378
155,2018-01-07 11:00:00,94.4,315,378
156,2018-01-07 12:00:00,89.6,315,378
157,2018-01-07 13:00:00,81.6,315,378
158,2018-01-07 14:00:00,73.6,315,378
159,2018-01-07 15:00:00,72.0,315,378
160,2018-01-07 16:00:00,72.0,315,378
161,2018-01-07 17:00:00,80.0,315,378
162,2018-01-07 18:00:00,81.6,315,378
163,2018-01-07 19:00:00,81.6,315,378
164,2018-01-07 20:00:00,81.6,315,378
165,2018-01-07 21:00:00,81.6,315,378
166,2018-01-07 22:00:00,76.8,315,378
167,2018-01-07 23:00:00,73.6,315,378
168,2018-01-08 00:00:00,72.0,315,378
169,2018-01-08 01:00:00,65.6,315,378
170,2018-01-08 02:00:00,65.6,315,378
171,2018-01-08 03:00:00,73.6,315,378
172,2018-01-08 04:00:00,68.8,315,378
173,2018-01-08 05:00:00,70.4,315,378
174,2018-01-08 06:00:00,70.4,315,378
175,2018-01-08 07:00:00,70.4,315,378
176,2018-01-08 08:00:00,75.2,315,378
177,2018-01-08 09:00:00,81.6,315,378
178,2018-01-08 10:00:00,81.6,315,378
179,2018-01-08 11:00:00,76.8,315,378
180,2018-01-08 12:00:00,72.0,315,378
181,2018-01-08 13:00:00,64.0,315,378
182,2018-01-08 14:00:00,68.8,315,378
