,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
0,2018-01-01 00:00:00,145.0,800,960
1,2018-01-01 01:00:00,135.0,800,960
2,2018-01-01 02:00:00,130.0,800,960
3,2018-01-01 03:00:00,140.0,800,960
4,2018-01-01 04:00:00,130.0,800,960
5,2018-01-01 05:00:00,120.0,800,960
6,2018-01-01 06:00:00,115.0,800,960
7,2018-01-01 07:00:00,135.0,800,960
8,2018-01-01 08:00:00,140.0,800,960
9,2018-01-01 09:00:00,135.0,800,960
10,2018-01-01 10:00:00,125.0,800,960
11,2018-01-01 11:00:00,135.0,800,960
12,2018-01-01 12:00:00,150.0,800,960
13,2018-01-01 13:00:00,155.0,800,960
14,2018-01-01 14:00:00,155.0,800,960
15,2018-01-01 15:00:00,155.0,800,960
16,2018-01-01 16:00:00,160.0,800,960
17,2018-01-01 17:00:00,180.0,800,960
18,2018-01-01 18:00:00,180.0,800,960
19,2018-01-01 19:00:00,185.0,800,960
20,2018-01-01 20:00:00,170.0,800,960
21,2018-01-01 21:00:00,140.0,800,960
22,2018-01-01 22:00:00,145.0,800,960
23,2018-01-01 23:00:00,125.0,800,960
24,2018-01-02 00:00:00,105.0,800,960
25,2018-01-02 01:00:00,105.0,800,960
26,2018-01-02 02:00:00,100.0,800,960
27,2018-01-02 03:00:00,105.0,800,960
28,2018-01-02 04:00:00,100.0,800,960
29,2018-01-02 05:00:00,100.0,800,960
30,2018-01-02 06:00:00,110.0,800,960
31,2018-01-02 07:00:00,135.0,800,960
32,2018-01-02 08:00:00,145.0,800,960
33,2018-01-02 09:00:00,180.0,800,960
34,2018-01-02 10:00:00,190.0,800,960
35,2018-01-02 11:00:00,245.0,800,960
36,2018-01-02 12:00:00,250.0,800,960
37,2018-01-02 13:00:00,245.0,800,960
38,2018-01-02 14:00:00,245.0,800,960
39,2018-01-02 15:00:00,245.0,800,960
40,2018-01-02 16:00:00,245.0,800,960
41,2018-01-02 17:00:00,260.0,800,960
42,2018-01-02 18:00:00,265.0,800,960
43,2018-01-02 19:00:00,250.0,800,960
44,2018-01-02 20:00:00,240.0,800,960
45,2018-01-02 21:00:00,150.0,800,960
46,2018-01-02 22:00:00,120.0,800,960
47,2018-01-02 23:00:00,120.0,800,960
48,2018-01-03 00:00:00,115.0,800,960
49,2018-01-03 01:00:00,110.0,800,960
50,2018-01-03 02:00:00,105.0,800,960
51,2018-01-03 03:00:00,100.0,800,960
52,2018-01-03 04:00:00,105.0,800,960
53,2018-01-03 05:00:00,100.0,800,960
54,2018-01-03 06:00:00,105.0,800,960
55,2018-01-03 07:00:00,135.0,800,960
56,2018-01-03 08:00:00,145.0,800,960
57,2018-01-03 09:00:00,160.0,800,960
58,2018-01-03 10:00:00,190.0,800,960
59,2018-01-03 11:00:00,225.0,800,960
60,2018-01-03 12:00:00,225.0,800,960
61,2018-01-03 13:00:00,225.0,800,960
62,2018-01-03 14:00:00,230.0,800,960
63,2018-01-03 15:00:00,240.0,800,960
64,2018-01-03 16:00:00,245.0,800,960
65,2018-01-03 17:00:00,260.0,800,960
66,2018-01-03 18:00:00,260.0,800,960
67,2018-01-03 19:00:00,255.0,800,960
68,2018-01-03 20:00:00,255.0,800,960
69,2018-01-03 21:00:00,170.0,800,960
70,2018-01-03 22:00:00,145.0,800,960
71,2018-01-03 23:00:00,135.0,800,960
72,2018-01-04 00:00:00,125.0,800,960
73,2018-01-04 01:00:00,125.0,800,960
74,2018-01-04 02:00:00,115.0,800,960
75,2018-01-04 03:00:00,115.0,800,960
76,2018-01-04 04:00:00,125.0,800,960
77,2018-01-04 05:00:00,120.0,800,960
78,2018-01-04 06:00:00,120.0,800,960
79,2018-01-04 07:00:00,145.0,800,960
80,2018-01-04 08:00:00,165.0,800,960
81,2018-01-04 09:00:00,195.0,800,960
82,2018-01-04 10:00:00,205.0,800,960
83,2018-01-04 11:00:00,250.0,800,960
84,2018-01-04 12:00:00,265.0,800,960
85,2018-01-04 13:00:00,265.0,800,960
86,2018-01-04 14:00:00,255.0,800,960
87,2018-01-04 15:00:00,265.0,800,960
88,2018-01-04 16:00:00,270.0,800,960
89,2018-01-04 17:00:00,315.0,800,960
90,2018-01-04 18:00:00,320.0,800,960
91,2018-01-04 19:00:00,325.0,800,960
92,2018-01-04 20:00:00,310.0,800,960
93,2018-01-04 21:00:00,175.0,800,960
94,2018-01-04 22:00:00,155.0,800,960
95,2018-01-04 23:00:00,140.0,800,960
96,2018-01-05 00:00:00,140.0,800,960
97,2018-01-05 01:00:00,125.0,800,960
98,2018-01-05 02:00:00,130.0,800,960
99,2018-01-05 03:00:00,125.0,800,960
100,2018-01-05 04:00:00,125.0,800,960
101,2018-01-05 05:00:00,125.0,800,960
102,2018-01-05 06:00:00,135.0,800,960
103,2018-01-05 07:00:00,150.0,800,960
104,2018-01-05 08:00:00,175.0,800,960
105,2018-01-05 09:00:00,230.0,800,960
106,2018-01-05 10:00:00,245.0,800,960
