,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
0,2018-01-01 00:00:00,35.0,100,120,6
1,2018-01-01 01:00:00,34.0,100,120,6
2,2018-01-01 02:00:00,37.0,100,120,6
3,2018-01-01 03:00:00,39.0,100,120,6
4,2018-01-01 04:00:00,34.0,100,120,6
5,2018-01-01 05:00:00,36.0,100,120,6
6,2018-01-01 06:00:00,37.0,100,120,6
7,2018-01-01 07:00:00,40.0,100,120,6
8,2018-01-01 08:00:00,37.0,100,120,6
9,2018-01-01 09:00:00,41.0,100,120,6
10,2018-01-01 10:00:00,43.0,100,120,6
11,2018-01-01 11:00:00,40.0,100,120,6
12,2018-01-01 12:00:00,38.0,100,120,6
13,2018-01-01 13:00:00,39.0,100,120,6
14,2018-01-01 14:00:00,45.0,100,120,6
15,2018-01-01 15:00:00,45.0,100,120,6
16,2018-01-01 16:00:00,44.0,100,120,6
17,2018-01-01 17:00:00,48.0,100,120,6
18,2018-01-01 18:00:00,47.0,100,120,6
19,2018-01-01 19:00:00,46.0,100,120,6
20,2018-01-01 20:00:00,48.0,100,120,6
21,2018-01-01 21:00:00,43.0,100,120,6
22,2018-01-01 22:00:00,40.0,100,120,6
23,2018-01-01 23:00:00,39.0,100,120,6
24,2018-01-02 00:00:00,41.0,100,120,6
25,2018-01-02 01:00:00,35.0,100,120,6
26,2018-01-02 02:00:00,35.0,100,120,6
27,2018-01-02 03:00:00,32.0,100,120,6
28,2018-01-02 04:00:00,36.0,100,120,6
29,2018-01-02 05:00:00,36.0,100,120,6
30,2018-01-02 06:00:00,35.0,100,120,6
31,2018-01-02 07:00:00,38.0,100,120,6
32,2018-01-02 08:00:00,37.0,100,120,6
33,2018-01-02 09:00:00,40.0,100,120,6
34,2018-01-02 10:00:00,38.0,100,120,6
35,2018-01-02 11:00:00,38.0,100,120,6
36,2018-01-02 12:00:00,36.0,100,120,6
37,2018-01-02 13:00:00,32.0,100,120,6
38,2018-01-02 14:00:00,35.0,100,120,6
39,2018-01-02 15:00:00,39.0,100,120,6
40,2018-01-02 16:00:00,42.0,100,120,6
41,2018-01-02 17:00:00,43.0,100,120,6
42,2018-01-02 18:00:00,44.0,100,120,6
43,2018-01-02 19:00:00,44.0,100,120,6
44,2018-01-02 20:00:00,49.0,100,120,6
45,2018-01-02 21:00:00,49.0,100,120,6
46,2018-01-02 22:00:00,47.0,100,120,6
47,2018-01-02 23:00:00,43.0,100,120,6
