;sourceId;referenceTime;elementId;value;unit;timeOffset
0;SN35210:0;2019-03-01 00:00:00+00:00;air_temperature;-3.5;degC;PT0H
1;SN35210:0;2019-03-01 01:00:00+00:00;air_temperature;-3.6;degC;PT0H
2;SN35210:0;2019-03-01 02:00:00+00:00;air_temperature;-4.4;degC;PT0H
3;SN35210:0;2019-03-01 03:00:00+00:00;air_temperature;-3.1;degC;PT0H
4;SN35210:0;2019-03-01 04:00:00+00:00;air_temperature;-2.8;degC;PT0H
5;SN35210:0;2019-03-01 05:00:00+00:00;air_temperature;-2.6;degC;PT0H
6;SN35210:0;2019-03-01 06:00:00+00:00;air_temperature;-2.0;degC;PT0H
7;SN35210:0;2019-03-01 07:00:00+00:00;air_temperature;-2.8;degC;PT0H
8;SN35210:0;2019-03-01 08:00:00+00:00;air_temperature;-2.5;degC;PT0H
9;SN35210:0;2019-03-01 09:00:00+00:00;air_temperature;-1.3;degC;PT0H
10;SN35210:0;2019-03-01 10:00:00+00:00;air_temperature;4.6;degC;PT0H
11;SN35210:0;2019-03-01 11:00:00+00:00;air_temperature;4.7;degC;PT0H
12;SN35210:0;2019-03-01 12:00:00+00:00;air_temperature;5.2;degC;PT0H
13;SN35210:0;2019-03-01 13:00:00+00:00;air_temperature;4.2;degC;PT0H
14;SN35210:0;2019-03-01 14:00:00+00:00;air_temperature;3.9;degC;PT0H
15;SN35210:0;2019-03-01 15:00:00+00:00;air_temperature;3.2;degC;PT0H
16;SN35210:0;2019-03-01 16:00:00+00:00;air_temperature;3.4;degC;PT0H
17;SN35210:0;2019-03-01 17:00:00+00:00;air_temperature;-0.4;degC;PT0H
18;SN35210:0;2019-03-01 18:00:00+00:00;air_temperature;-2.5;degC;PT0H
19;SN35210:0;2019-03-01 19:00:00+00:00;air_temperature;-3.5;degC;PT0H
20;SN35210:0;2019-03-01 20:00:00+00:00;air_temperature;-4.1;degC;PT0H
21;SN35210:0;2019-03-01 21:00:00+00:00;air_temperature;-4.4;degC;PT0H
22;SN35210:0;2019-03-01 22:00:00+00:00;air_temperature;-5.4;degC;PT0H
23;SN35210:0;2019-03-01 23:00:00+00:00;air_temperature;-5.6;degC;PT0H
24;SN35210:0;2019-03-02 00:00:00+00:00;air_temperature;-6.5;degC;PT0H
25;SN35210:0;2019-03-02 01:00:00+00:00;air_temperature;-6.6;degC;PT0H
26;SN35210:0;2019-03-02 02:00:00+00:00;air_temperature;-6.3;degC;PT0H
27;SN35210:0;2019-03-02 03:00:00+00:00;air_temperature;-6.4;degC;PT0H
28;SN35210:0;2019-03-02 04:00:00+00:00;air_temperature;-5.8;degC;PT0H
29;SN35210:0;2019-03-02 05:00:00+00:00;air_temperature;-5.9;degC;PT0H
30;SN35210:0;2019-03-02 06:00:00+00:00;air_temperature;-6.7;degC;PT0H
31;SN35210:0;2019-03-02 07:00:00+00:00;air_temperature;-6.9;degC;PT0H
32;SN35210:0;2019-03-02 08:00:00+00:00;air_temperature;-6.1;degC;PT0H
33;SN35210:0;2019-03-02 09:00:00+00:00;air_temperature;-4.5;degC;PT0H
34;SN35210:0;2019-03-02 10:00:00+00:00;air_temperature;-2.0;degC;PT0H
35;SN35210:0;2019-03-02 11:00:00+00:00;air_temperature;4.4;degC;PT0H
36;SN35210:0;2019-03-02 12:00:00+00:00;air_temperature;5.5;degC;PT0H
37;SN35210:0;2019-03-02 13:00:00+00:00;air_temperature;5.2;degC;PT0H
38;SN35210:0;2019-03-02 14:00:00+00:00;air_temperature;5.1;degC;PT0H
39;SN35210:0;2019-03-02 15:00:00+00:00;air_temperature;4.8;degC;PT0H
40;SN35210:0;2019-03-02 16:00:00+00:00;air_temperature;3.9;degC;PT0H
41;SN35210:0;2019-03-02 17:00:00+00:00;air_temperature;2.2;degC;PT0H
42;SN35210:0;2019-03-02 18:00:00+00:00;air_temperature;2.1;degC;PT0H
43;SN35210:0;2019-03-02 19:00:00+00:00;air_temperature;1.3;degC;PT0H
44;SN35210:0;2019-03-02 20:00:00+00:00;air_temperature;0.8;degC;PT0H
45;SN35210:0;2019-03-02 21:00:00+00:00;air_temperature;0.7;degC;PT0H
46;SN35210:0;2019-03-02 22:00:00+00:00;air_temperature;0.8;degC;PT0H
47;SN35210:0;2019-03-02 23:00:00+00:00;air_temperature;0.8;degC;PT0H
48;SN35210:0;2019-03-03 00:00:00+00:00;air_temperature;0.7;degC;PT0H
49;SN35210:0;2019-03-03 01:00:00+00:00;air_temperature;0.8;degC;PT0H
50;SN35210:0;2019-03-03 02:00:00+00:00;air_temperature;0.8;degC;PT0H
51;SN35210:0;2019-03-03 03:00:00+00:00;air_temperature;0.7;degC;PT0H
52;SN35210:0;2019-03-03 04:00:00+00:00;air_temperature;0.7;degC;PT0H
53;SN35210:0;2019-03-03 05:00:00+00:00;air_temperature;0.7;degC;PT0H
54;SN35210:0;2019-03-03 06:00:00+00:00;air_temperature;1.0;degC;PT0H
55;SN35210:0;2019-03-03 07:00:00+00:00;air_temperature;0.8;degC;PT0H
56;SN35210:0;2019-03-03 08:00:00+00:00;air_temperature;1.4;degC;PT0H
57;SN35210:0;2019-03-03 09:00:00+00:00;air_temperature;1.1;degC;PT0H
58;SN35210:0;2019-03-03 10:00:00+00:00;air_temperature;5.2;degC;PT0H
59;SN35210:0;2019-03-03 11:00:00+00:00;air_temperature;7.5;degC;PT0H
60;SN35210:0;2019-03-03 12:00:00+00:00;air_temperature;7.8;degC;PT0H
61;SN35210:0;2019-03-03 13:00:00+00:00;air_temperature;6.9;degC;PT0H
62;SN35210:0;2019-03-03 14:00:00+00:00;air_temperature;7.0;degC;PT0H
63;SN35210:0;2019-03-03 15:00:00+00:00;air_temperature;6.3;degC;PT0H
64;SN35210:0;2019-03-03 16:00:00+00:00;air_temperature;5.6;degC;PT0H
65;SN35210:0;2019-03-03 17:00:00+00:00;air_temperature;4.6;degC;PT0H
66;SN35210:0;2019-03-03 18:00:00+00:00;air_temperature;2.5;degC;PT0H
67;SN35210:0;2019-03-03 19:00:00+00:00;air_temperature;0.9;degC;PT0H
68;SN35210:0;2019-03-03 20:00:00+00:00;air_temperature;2.8;degC;PT0H
69;SN35210:0;2019-03-03 21:00:00+00:00;air_temperature;0.8;degC;PT0H
70;SN35210:0;2019-03-03 22:00:00+00:00;air_temperature;-0.1;degC;PT0H
71;SN35210:0;2019-03-03 23:00:00+00:00;air_temperature;0.1;degC;PT0H
72;SN35210:0;2019-03-04 00:00:00+00:00;air_temperature;0.1;degC;PT0H
73;SN35210:0;2019-03-04 01:00:00+00:00;air_temperature;0.2;degC;PT0H
74;SN35210:0;2019-03-04 02:00:00+00:00;air_temperature;0.4;degC;PT0H
75;SN35210:0;2019-03-04 03:00:00+00:00;air_temperature;0.4;degC;PT0H
76;SN35210:0;2019-03-04 04:00:00+00:00;air_temperature;0.6;degC;PT0H
77;SN35210:0;2019-03-04 05:00:00+00:00;air_temperature;0.5;degC;PT0H
78;SN35210:0;2019-03-04 06:00:00+00:00;air_temperature;0.5;degC;PT0H
79;SN35210:0;2019-03-04 07:00:00+00:00;air_temperature;0.8;degC;PT0H
80;SN35210:0;2019-03-04 08:00:00+00:00;air_temperature;1.8;degC;PT0H
81;SN35210:0;2019-03-04 09:00:00+00:00;air_temperature;2.2;degC;PT0H
82;SN35210:0;2019-03-04 10:00:00+00:00;air_temperature;2.4;degC;PT0H
83;SN35210:0;2019-03-04 11:00:00+00:00;air_temperature;2.1;degC;PT0H
84;SN35210:0;2019-03-04 12:00:00+00:00;air_temperature;2.6;degC;PT0H
85;SN35210:0;2019-03-04 13:00:00+00:00;air_temperature;2.6;degC;PT0H
86;SN35210:0;2019-03-04 14:00:00+00:00;air_temperature;3.0;degC;PT0H
87;SN35210:0;2019-03-04 15:00:00+00:00;air_temperature;2.6;degC;PT0H
88;SN35210:0;2019-03-04 16:00:00+00:00;air_temperature;2.7;degC;PT0H
89;SN35210:0;2019-03-04 17:00:00+00:00;air_temperature;2.4;degC;PT0H
90;SN35210:0;2019-03-04 18:00:00+00:00;air_temperature;1.9;degC;PT0H
91;SN35210:0;2019-03-04 19:00:00+00:00;air_temperature;2.1;degC;PT0H
92;SN35210:0;2019-03-04 20:00:00+00:00;air_temperature;2.1;degC;PT0H
93;SN35210:0;2019-03-04 21:00:00+00:00;air_temperature;2.2;degC;PT0H
94;SN35210:0;2019-03-04 22:00:00+00:00;air_temperature;2.0;degC;PT0H
95;SN35210:0;2019-03-04 23:00:00+00:00;air_temperature;1.7;degC;PT0H
96;SN35210:0;2019-03-05 00:00:00+00:00;air_temperature;1.7;degC;PT0H
97;SN35210:0;2019-03-05 01:00:00+00:00;air_temperature;1.4;degC;PT0H
98;SN35210:0;2019-03-05 02:00:00+00:00;air_temperature;0.8;degC;PT0H
99;SN35210:0;2019-03-05 03:00:00+00:00;air_temperature;0.5;degC;PT0H
100;SN35210:0;2019-03-05 04:00:00+00:00;air_temperature;0.5;degC;PT0H
101;SN35210:0;2019-03-05 05:00:00+00:00;air_temperature;0.3;degC;PT0H
102;SN35210:0;2019-03-05 06:00:00+00:00;air_temperature;0.2;degC;PT0H
103;SN35210:0;2019-03-05 07:00:00+00:00;air_temperature;0.4;degC;PT0H
104;SN35210:0;2019-03-05 08:00:00+00:00;air_temperature;0.6;degC;PT0H
105;SN35210:0;2019-03-05 09:00:00+00:00;air_temperature;0.8;degC;PT0H
106;SN35210:0;2019-03-05 10:00:00+00:00;air_temperature;0.7;degC;PT0H
107;SN35210:0;2019-03-05 11:00:00+00:00;air_temperature;0.7;degC;PT0H
108;SN35210:0;2019-03-05 12:00:00+00:00;air_temperature;0.8;degC;PT0H
109;SN35210:0;2019-03-05 13:00:00+00:00;air_temperature;0.3;degC;PT0H
110;SN35210:0;2019-03-05 14:00:00+00:00;air_temperature;0.5;degC;PT0H
111;SN35210:0;2019-03-05 15:00:00+00:00;air_temperature;0.0;degC;PT0H
112;SN35210:0;2019-03-05 16:00:00+00:00;air_temperature;0.2;degC;PT0H
113;SN35210:0;2019-03-05 17:00:00+00:00;air_temperature;-0.6;degC;PT0H
114;SN35210:0;2019-03-05 18:00:00+00:00;air_temperature;-0.7;degC;PT0H
115;SN35210:0;2019-03-05 19:00:00+00:00;air_temperature;-0.9;degC;PT0H
116;SN35210:0;2019-03-05 20:00:00+00:00;air_temperature;-1.0;degC;PT0H
117;SN35210:0;2019-03-05 21:00:00+00:00;air_temperature;-0.9;degC;PT0H
118;SN35210:0;2019-03-05 22:00:00+00:00;air_temperature;-0.9;degC;PT0H
119;SN35210:0;2019-03-05 23:00:00+00:00;air_temperature;-1.2;degC;PT0H
120;SN35210:0;2019-03-06 00:00:00+00:00;air_temperature;-1.1;degC;PT0H
121;SN35210:0;2019-03-06 01:00:00+00:00;air_temperature;-1.1;degC;PT0H
122;SN35210:0;2019-03-06 02:00:00+00:00;air_temperature;-1.1;degC;PT0H
123;SN35210:0;2019-03-06 03:00:00+00:00;air_temperature;-1.2;degC;PT0H
124;SN35210:0;2019-03-06 04:00:00+00:00;air_temperature;-1.0;degC;PT0H
125;SN35210:0;2019-03-06 05:00:00+00:00;air_temperature;-1.0;degC;PT0H
126;SN35210:0;2019-03-06 06:00:00+00:00;air_temperature;-0.9;degC;PT0H
127;SN35210:0;2019-03-06 07:00:00+00:00;air_temperature;-0.8;degC;PT0H
128;SN35210:0;2019-03-06 08:00:00+00:00;air_temperature;-0.4;degC;PT0H
129;SN35210:0;2019-03-06 09:00:00+00:00;air_temperature;0.3;degC;PT0H
130;SN35210:0;2019-03-06 10:00:00+00:00;air_temperature;0.5;degC;PT0H
131;SN35210:0;2019-03-06 11:00:00+00:00;air_temperature;0.6;degC;PT0H
132;SN35210:0;2019-03-06 12:00:00+00:00;air_temperature;0.5;degC;PT0H
133;SN35210:0;2019-03-06 13:00:00+00:00;air_temperature;0.8;degC;PT0H
134;SN35210:0;2019-03-06 14:00:00+00:00;air_temperature;0.7;degC;PT0H
135;SN35210:0;2019-03-06 15:00:00+00:00;air_temperature;0.5;degC;PT0H
136;SN35210:0;2019-03-06 16:00:00+00:00;air_temperature;0.5;degC;PT0H
137;SN35210:0;2019-03-06 17:00:00+00:00;air_temperature;0.4;degC;PT0H
138;SN35210:0;2019-03-06 18:00:00+00:00;air_temperature;0.6;degC;PT0H
139;SN35210:0;2019-03-06 19:00:00+00:00;air_temperature;0.6;degC;PT0H
140;SN35210:0;2019-03-06 20:00:00+00:00;air_temperature;0.6;degC;PT0H
141;SN35210:0;2019-03-06 21:00:00+00:00;air_temperature;0.6;degC;PT0H
142;SN35210:0;2019-03-06 22:00:00+00:00;air_temperature;1.0;degC;PT0H
143;SN35210:0;2019-03-06 23:00:00+00:00;air_temperature;0.6;degC;PT0H
144;SN35210:0;2019-03-07 00:00:00+00:00;air_temperature;0.5;degC;PT0H
145;SN35210:0;2019-03-07 01:00:00+00:00;air_temperature;0.9;degC;PT0H
146;SN35210:0;2019-03-07 02:00:00+00:00;air_temperature;0.9;degC;PT0H
147;SN35210:0;2019-03-07 03:00:00+00:00;air_temperature;1.0;degC;PT0H
148;SN35210:0;2019-03-07 04:00:00+00:00;air_temperature;0.9;degC;PT0H
149;SN35210:0;2019-03-07 05:00:00+00:00;air_temperature;0.9;degC;PT0H
150;SN35210:0;2019-03-07 06:00:00+00:00;air_temperature;0.9;degC;PT0H
151;SN35210:0;2019-03-07 07:00:00+00:00;air_temperature;1.0;degC;PT0H
152;SN35210:0;2019-03-07 08:00:00+00:00;air_temperature;1.2;degC;PT0H
153;SN35210:0;2019-03-07 09:00:00+00:00;air_temperature;1.8;degC;PT0H
154;SN35210:0;2019-03-07 10:00:00+00:00;air_temperature;1.8;degC;PT0H
155;SN35210:0;2019-03-07 11:00:00+00:00;air_temperature;1.7;degC;PT0H
156;SN35210:0;2019-03-07 12:00:00+00:00;air_temperature;1.8;degC;PT0H
157;SN35210:0;2019-03-07 13:00:00+00:00;air_temperature;1.9;degC;PT0H
158;SN35210:0;2019-03-07 14:00:00+00:00;air_temperature;1.9;degC;PT0H
159;SN35210:0;2019-03-07 15:00:00+00:00;air_temperature;2.0;degC;PT0H
160;SN35210:0;2019-03-07 16:00:00+00:00;air_temperature;2.0;degC;PT0H
161;SN35210:0;2019-03-07 17:00:00+00:00;air_temperature;1.9;degC;PT0H
162;SN35210:0;2019-03-07 18:00:00+00:00;air_temperature;2.1;degC;PT0H
163;SN35210:0;2019-03-07 19:00:00+00:00;air_temperature;2.2;degC;PT0H
164;SN35210:0;2019-03-07 20:00:00+00:00;air_temperature;2.1;degC;PT0H
165;SN35210:0;2019-03-07 21:00:00+00:00;air_temperature;1.9;degC;PT0H
166;SN35210:0;2019-03-07 22:00:00+00:00;air_temperature;1.0;degC;PT0H
167;SN35210:0;2019-03-07 23:00:00+00:00;air_temperature;0.2;degC;PT0H
