;sourceId;referenceTime;elementId;value;unit;timeOffset
0;SN39150:0;2019-03-01 00:00:00;air_temperature;-0.2;degC;PT0H
1;SN39150:0;2019-03-01 01:00:00;air_temperature;-0.7;degC;PT0H
2;SN39150:0;2019-03-01 02:00:00;air_temperature;0.8;degC;PT0H
3;SN39150:0;2019-03-01 03:00:00;air_temperature;0.9;degC;PT0H
4;SN39150:0;2019-03-01 04:00:00;air_temperature;1.0;degC;PT0H
5;SN39150:0;2019-03-01 05:00:00;air_temperature;0.1;degC;PT0H
6;SN39150:0;2019-03-01 06:00:00;air_temperature;0.9;degC;PT0H
7;SN39150:0;2019-03-01 07:00:00;air_temperature;0.9;degC;PT0H
8;SN39150:0;2019-03-01 08:00:00;air_temperature;1.9;degC;PT0H
9;SN39150:0;2019-03-01 09:00:00;air_temperature;5.8;degC;PT0H
10;SN39150:0;2019-03-01 10:00:00;air_temperature;6.9;degC;PT0H
11;SN39150:0;2019-03-01 11:00:00;air_temperature;7.4;degC;PT0H
12;SN39150:0;2019-03-01 12:00:00;air_temperature;6.0;degC;PT0H
13;SN39150:0;2019-03-01 13:00:00;air_temperature;7.4;degC;PT0H
14;SN39150:0;2019-03-01 14:00:00;air_temperature;6.4;degC;PT0H
15;SN39150:0;2019-03-01 15:00:00;air_temperature;5.7;degC;PT0H
16;SN39150:0;2019-03-01 16:00:00;air_temperature;4.8;degC;PT0H
17;SN39150:0;2019-03-01 17:00:00;air_temperature;2.1;degC;PT0H
18;SN39150:0;2019-03-01 18:00:00;air_temperature;1.5;degC;PT0H
19;SN39150:0;2019-03-01 19:00:00;air_temperature;0.5;degC;PT0H
20;SN39150:0;2019-03-01 20:00:00;air_temperature;0.0;degC;PT0H
21;SN39150:0;2019-03-01 21:00:00;air_temperature;0.1;degC;PT0H
22;SN39150:0;2019-03-01 22:00:00;air_temperature;0.0;degC;PT0H
23;SN39150:0;2019-03-01 23:00:00;air_temperature;-2.0;degC;PT0H
24;SN39150:0;2019-03-02 00:00:00;air_temperature;-2.1;degC;PT0H
25;SN39150:0;2019-03-02 01:00:00;air_temperature;-2.0;degC;PT0H
26;SN39150:0;2019-03-02 02:00:00;air_temperature;-2.2;degC;PT0H
27;SN39150:0;2019-03-02 03:00:00;air_temperature;-2.5;degC;PT0H
28;SN39150:0;2019-03-02 04:00:00;air_temperature;-3.0;degC;PT0H
29;SN39150:0;2019-03-02 05:00:00;air_temperature;-2.4;degC;PT0H
30;SN39150:0;2019-03-02 06:00:00;air_temperature;-0.7;degC;PT0H
31;SN39150:0;2019-03-02 07:00:00;air_temperature;-0.2;degC;PT0H
32;SN39150:0;2019-03-02 08:00:00;air_temperature;0.4;degC;PT0H
33;SN39150:0;2019-03-02 09:00:00;air_temperature;2.5;degC;PT0H
34;SN39150:0;2019-03-02 10:00:00;air_temperature;4.2;degC;PT0H
35;SN39150:0;2019-03-02 11:00:00;air_temperature;4.4;degC;PT0H
36;SN39150:0;2019-03-02 12:00:00;air_temperature;5.4;degC;PT0H
37;SN39150:0;2019-03-02 13:00:00;air_temperature;4.4;degC;PT0H
38;SN39150:0;2019-03-02 14:00:00;air_temperature;3.8;degC;PT0H
39;SN39150:0;2019-03-02 15:00:00;air_temperature;4.1;degC;PT0H
40;SN39150:0;2019-03-02 16:00:00;air_temperature;4.3;degC;PT0H
41;SN39150:0;2019-03-02 17:00:00;air_temperature;4.8;degC;PT0H
42;SN39150:0;2019-03-02 18:00:00;air_temperature;4.8;degC;PT0H
43;SN39150:0;2019-03-02 19:00:00;air_temperature;5.1;degC;PT0H
44;SN39150:0;2019-03-02 20:00:00;air_temperature;5.2;degC;PT0H
45;SN39150:0;2019-03-02 21:00:00;air_temperature;5.2;degC;PT0H
46;SN39150:0;2019-03-02 22:00:00;air_temperature;5.2;degC;PT0H
47;SN39150:0;2019-03-02 23:00:00;air_temperature;5.3;degC;PT0H
48;SN39150:0;2019-03-03 00:00:00;air_temperature;5.1;degC;PT0H
49;SN39150:0;2019-03-03 01:00:00;air_temperature;5.2;degC;PT0H
50;SN39150:0;2019-03-03 02:00:00;air_temperature;5.4;degC;PT0H
51;SN39150:0;2019-03-03 03:00:00;air_temperature;5.6;degC;PT0H
52;SN39150:0;2019-03-03 04:00:00;air_temperature;5.6;degC;PT0H
53;SN39150:0;2019-03-03 05:00:00;air_temperature;5.9;degC;PT0H
54;SN39150:0;2019-03-03 06:00:00;air_temperature;5.9;degC;PT0H
55;SN39150:0;2019-03-03 07:00:00;air_temperature;5.5;degC;PT0H
56;SN39150:0;2019-03-03 08:00:00;air_temperature;6.2;degC;PT0H
57;SN39150:0;2019-03-03 09:00:00;air_temperature;7.2;degC;PT0H
58;SN39150:0;2019-03-03 10:00:00;air_temperature;6.9;degC;PT0H
59;SN39150:0;2019-03-03 11:00:00;air_temperature;7.0;degC;PT0H
60;SN39150:0;2019-03-03 12:00:00;air_temperature;7.3;degC;PT0H
61;SN39150:0;2019-03-03 13:00:00;air_temperature;7.3;degC;PT0H
62;SN39150:0;2019-03-03 14:00:00;air_temperature;7.0;degC;PT0H
63;SN39150:0;2019-03-03 15:00:00;air_temperature;6.7;degC;PT0H
64;SN39150:0;2019-03-03 16:00:00;air_temperature;6.1;degC;PT0H
65;SN39150:0;2019-03-03 17:00:00;air_temperature;6.0;degC;PT0H
66;SN39150:0;2019-03-03 18:00:00;air_temperature;5.6;degC;PT0H
67;SN39150:0;2019-03-03 19:00:00;air_temperature;5.4;degC;PT0H
68;SN39150:0;2019-03-03 20:00:00;air_temperature;5.3;degC;PT0H
69;SN39150:0;2019-03-03 21:00:00;air_temperature;5.1;degC;PT0H
70;SN39150:0;2019-03-03 22:00:00;air_temperature;5.1;degC;PT0H
71;SN39150:0;2019-03-03 23:00:00;air_temperature;5.0;degC;PT0H
72;SN39150:0;2019-03-04 00:00:00;air_temperature;5.1;degC;PT0H
