;sourceId;referenceTime;elementId;value;unit;timeOffset
0;SN38140:0;2018-01-01 00:00:00+00:00;max(air_temperature PT1H);5.5;degC;PT0H
1;SN38140:0;2018-01-01 01:00:00+00:00;max(air_temperature PT1H);5.0;degC;PT0H
2;SN38140:0;2018-01-01 02:00:00+00:00;max(air_temperature PT1H);4.8;degC;PT0H
3;SN38140:0;2018-01-01 03:00:00+00:00;max(air_temperature PT1H);4.9;degC;PT0H
4;SN38140:0;2018-01-01 04:00:00+00:00;max(air_temperature PT1H);3.7;degC;PT0H
5;SN38140:0;2018-01-01 05:00:00+00:00;max(air_temperature PT1H);2.9;degC;PT0H
6;SN38140:0;2018-01-01 06:00:00+00:00;max(air_temperature PT1H);2.7;degC;PT0H
7;SN38140:0;2018-01-01 07:00:00+00:00;max(air_temperature PT1H);2.9;degC;PT0H
8;SN38140:0;2018-01-01 08:00:00+00:00;max(air_temperature PT1H);2.9;degC;PT0H
9;SN38140:0;2018-01-01 09:00:00+00:00;max(air_temperature PT1H);2.0;degC;PT0H
10;SN38140:0;2018-01-01 10:00:00+00:00;max(air_temperature PT1H);2.5;degC;PT0H
11;SN38140:0;2018-01-01 11:00:00+00:00;max(air_temperature PT1H);2.5;degC;PT0H
12;SN38140:0;2018-01-01 12:00:00+00:00;max(air_temperature PT1H);3.6;degC;PT0H
13;SN38140:0;2018-01-01 13:00:00+00:00;max(air_temperature PT1H);3.8;degC;PT0H
14;SN38140:0;2018-01-01 14:00:00+00:00;max(air_temperature PT1H);3.3;degC;PT0H
15;SN38140:0;2018-01-01 15:00:00+00:00;max(air_temperature PT1H);2.1;degC;PT0H
16;SN38140:0;2018-01-01 16:00:00+00:00;max(air_temperature PT1H);3.3;degC;PT0H
17;SN38140:0;2018-01-01 17:00:00+00:00;max(air_temperature PT1H);0.7;degC;PT0H
18;SN38140:0;2018-01-01 18:00:00+00:00;max(air_temperature PT1H);0.4;degC;PT0H
19;SN38140:0;2018-01-01 19:00:00+00:00;max(air_temperature PT1H);3.0;degC;PT0H
20;SN38140:0;2018-01-01 20:00:00+00:00;max(air_temperature PT1H);3.3;degC;PT0H
21;SN38140:0;2018-01-01 21:00:00+00:00;max(air_temperature PT1H);3.5;degC;PT0H
22;SN38140:0;2018-01-01 22:00:00+00:00;max(air_temperature PT1H);3.8;degC;PT0H
23;SN38140:0;2018-01-01 23:00:00+00:00;max(air_temperature PT1H);3.8;degC;PT0H
24;SN38140:0;2018-01-02 00:00:00+00:00;max(air_temperature PT1H);3.8;degC;PT0H
25;SN38140:0;2018-01-02 01:00:00+00:00;max(air_temperature PT1H);3.2;degC;PT0H
26;SN38140:0;2018-01-02 02:00:00+00:00;max(air_temperature PT1H);3.0;degC;PT0H
27;SN38140:0;2018-01-02 03:00:00+00:00;max(air_temperature PT1H);2.2;degC;PT0H
28;SN38140:0;2018-01-02 04:00:00+00:00;max(air_temperature PT1H);2.0;degC;PT0H
29;SN38140:0;2018-01-02 05:00:00+00:00;max(air_temperature PT1H);1.8;degC;PT0H
30;SN38140:0;2018-01-02 06:00:00+00:00;max(air_temperature PT1H);-0.2;degC;PT0H
31;SN38140:0;2018-01-02 07:00:00+00:00;max(air_temperature PT1H);-1.4;degC;PT0H
32;SN38140:0;2018-01-02 08:00:00+00:00;max(air_temperature PT1H);0.7;degC;PT0H
33;SN38140:0;2018-01-02 09:00:00+00:00;max(air_temperature PT1H);0.7;degC;PT0H
34;SN38140:0;2018-01-02 10:00:00+00:00;max(air_temperature PT1H);3.1;degC;PT0H
35;SN38140:0;2018-01-02 11:00:00+00:00;max(air_temperature PT1H);5.3;degC;PT0H
36;SN38140:0;2018-01-02 12:00:00+00:00;max(air_temperature PT1H);5.6;degC;PT0H
