;sourceId;referenceTime;elementId;value;unit;timeOffset
0;SN42940:0;2018-01-01 00:00:00;max(air_temperature PT1H);2.3;degC;PT0H
1;SN42940:0;2018-01-01 01:00:00;max(air_temperature PT1H);1.4;degC;PT0H
2;SN42940:0;2018-01-01 02:00:00;max(air_temperature PT1H);1.6;degC;PT0H
3;SN42940:0;2018-01-01 03:00:00;max(air_temperature PT1H);1.7;degC;PT0H
4;SN42940:0;2018-01-01 04:00:00;max(air_temperature PT1H);2.0;degC;PT0H
5;SN42940:0;2018-01-01 05:00:00;max(air_temperature PT1H);1.4;degC;PT0H
6;SN42940:0;2018-01-01 06:00:00;max(air_temperature PT1H);1.5;degC;PT0H
7;SN42940:0;2018-01-01 07:00:00;max(air_temperature PT1H);1.6;degC;PT0H
8;SN42940:0;2018-01-01 08:00:00;max(air_temperature PT1H);1.6;degC;PT0H
9;SN42940:0;2018-01-01 09:00:00;max(air_temperature PT1H);1.3;degC;PT0H
10;SN42940:0;2018-01-01 10:00:00;max(air_temperature PT1H);1.5;degC;PT0H
11;SN42940:0;2018-01-01 11:00:00;max(air_temperature PT1H);1.4;degC;PT0H
12;SN42940:0;2018-01-01 12:00:00;max(air_temperature PT1H);1.6;degC;PT0H
13;SN42940:0;2018-01-01 13:00:00;max(air_temperature PT1H);1.6;degC;PT0H
14;SN42940:0;2018-01-01 14:00:00;max(air_temperature PT1H);1.5;degC;PT0H
15;SN42940:0;2018-01-01 15:00:00;max(air_temperature PT1H);1.2;degC;PT0H
16;SN42940:0;2018-01-01 16:00:00;max(air_temperature PT1H);0.9;degC;PT0H
17;SN42940:0;2018-01-01 17:00:00;max(air_temperature PT1H);0.5;degC;PT0H
18;SN42940:0;2018-01-01 18:00:00;max(air_temperature PT1H);0.2;degC;PT0H
19;SN42940:0;2018-01-01 19:00:00;max(air_temperature PT1H);0.2;degC;PT0H
20;SN42940:0;2018-01-01 20:00:00;max(air_temperature PT1H);0.9;degC;PT0H
21;SN42940:0;2018-01-01 21:00:00;max(air_temperature PT1H);1.1;degC;PT0H
22;SN42940:0;2018-01-01 22:00:00;max(air_temperature PT1H);1.1;degC;PT0H
23;SN42940:0;2018-01-01 23:00:00;max(air_temperature PT1H);0.2;degC;PT0H
24;SN42940:0;2018-01-02 00:00:00;max(air_temperature PT1H);0.8;degC;PT0H
25;SN42940:0;2018-01-02 01:00:00;max(air_temperature PT1H);0.5;degC;PT0H
26;SN42940:0;2018-01-02 02:00:00;max(air_temperature PT1H);-0.5;degC;PT0H
27;SN42940:0;2018-01-02 03:00:00;max(air_temperature PT1H);-0.8;degC;PT0H
28;SN42940:0;2018-01-02 04:00:00;max(air_temperature PT1H);0.9;degC;PT0H
29;SN42940:0;2018-01-02 05:00:00;max(air_temperature PT1H);0.9;degC;PT0H
30;SN42940:0;2018-01-02 06:00:00;max(air_temperature PT1H);1.0;degC;PT0H
31;SN42940:0;2018-01-02 07:00:00;max(air_temperature PT1H);1.1;degC;PT0H
32;SN42940:0;2018-01-02 08:00:00;max(air_temperature PT1H);0.7;degC;PT0H
33;SN42940:0;2018-01-02 09:00:00;max(air_temperature PT1H);-1.3;degC;PT0H
34;SN42940:0;2018-01-02 10:00:00;max(air_temperature PT1H);-2.6;degC;PT0H
35;SN42940:0;2018-01-02 11:00:00;max(air_temperature PT1H);-1.2;degC;PT0H
36;SN42940:0;2018-01-02 12:00:00;max(air_temperature PT1H);-0.5;degC;PT0H
37;SN42940:0;2018-01-02 13:00:00;max(air_temperature PT1H);0.0;degC;PT0H
38;SN42940:0;2018-01-02 14:00:00;max(air_temperature PT1H);0.2;degC;PT0H
39;SN42940:0;2018-01-02 15:00:00;max(air_temperature PT1H);0.1;degC;PT0H
40;SN42940:0;2018-01-02 16:00:00;max(air_temperature PT1H);-1.4;degC;PT0H
41;SN42940:0;2018-01-02 17:00:00;max(air_temperature PT1H);-1.7;degC;PT0H
42;SN42940:0;2018-01-02 18:00:00;max(air_temperature PT1H);-2.0;degC;PT0H
43;SN42940:0;2018-01-02 19:00:00;max(air_temperature PT1H);-2.1;degC;PT0H
44;SN42940:0;2018-01-02 20:00:00;max(air_temperature PT1H);-1.9;degC;PT0H
45;SN42940:0;2018-01-02 21:00:00;max(air_temperature PT1H);0.2;degC;PT0H
46;SN42940:0;2018-01-02 22:00:00;max(air_temperature PT1H);0.5;degC;PT0H
47;SN42940:0;2018-01-02 23:00:00;max(air_temperature PT1H);0.3;degC;PT0H
48;SN42940:0;2018-01-03 00:00:00;max(air_temperature PT1H);0.2;degC;PT0H
49;SN42940:0;2018-01-03 01:00:00;max(air_temperature PT1H);0.3;degC;PT0H
50;SN42940:0;2018-01-03 02:00:00;max(air_temperature PT1H);0.1;degC;PT0H
51;SN42940:0;2018-01-03 03:00:00;max(air_temperature PT1H);0.2;degC;PT0H
52;SN42940:0;2018-01-03 04:00:00;max(air_temperature PT1H);0.0;degC;PT0H
53;SN42940:0;2018-01-03 05:00:00;max(air_temperature PT1H);0.3;degC;PT0H
54;SN42940:0;2018-01-03 06:00:00;max(air_temperature PT1H);0.2;degC;PT0H
55;SN42940:0;2018-01-03 07:00:00;max(air_temperature PT1H);0.1;degC;PT0H
56;SN42940:0;2018-01-03 08:00:00;max(air_temperature PT1H);0.1;degC;PT0H
57;SN42940:0;2018-01-03 09:00:00;max(air_temperature PT1H);0.2;degC;PT0H
58;SN42940:0;2018-01-03 10:00:00;max(air_temperature PT1H);0.4;degC;PT0H
59;SN42940:0;2018-01-03 11:00:00;max(air_temperature PT1H);0.5;degC;PT0H
60;SN42940:0;2018-01-03 12:00:00;max(air_temperature PT1H);0.4;degC;PT0H
61;SN42940:0;2018-01-03 13:00:00;max(air_temperature PT1H);0.3;degC;PT0H
62;SN42940:0;2018-01-03 14:00:00;max(air_temperature PT1H);0.1;degC;PT0H
63;SN42940:0;2018-01-03 15:00:00;max(air_temperature PT1H);-0.2;degC;PT0H
64;SN42940:0;2018-01-03 16:00:00;max(air_temperature PT1H);-0.4;degC;PT0H
65;SN42940:0;2018-01-03 17:00:00;max(air_temperature PT1H);-0.2;degC;PT0H
66;SN42940:0;2018-01-03 18:00:00;max(air_temperature PT1H);-0.2;degC;PT0H
67;SN42940:0;2018-01-03 19:00:00;max(air_temperature PT1H);-0.7;degC;PT0H
68;SN42940:0;2018-01-03 20:00:00;max(air_temperature PT1H);-0.5;degC;PT0H
69;SN42940:0;2018-01-03 21:00:00;max(air_temperature PT1H);-0.5;degC;PT0H
70;SN42940:0;2018-01-03 22:00:00;max(air_temperature PT1H);-0.7;degC;PT0H
71;SN42940:0;2018-01-03 23:00:00;max(air_temperature PT1H);-0.7;degC;PT0H
72;SN42940:0;2018-01-04 00:00:00;max(air_temperature PT1H);-0.5;degC;PT0H
73;SN42940:0;2018-01-04 01:00:00;max(air_temperature PT1H);-0.6;degC;PT0H
74;SN42940:0;2018-01-04 02:00:00;max(air_temperature PT1H);-0.6;degC;PT0H
75;SN42940:0;2018-01-04 03:00:00;max(air_temperature PT1H);-0.6;degC;PT0H
76;SN42940:0;2018-01-04 04:00:00;max(air_temperature PT1H);-1.2;degC;PT0H
77;SN42940:0;2018-01-04 05:00:00;max(air_temperature PT1H);-1.4;degC;PT0H
78;SN42940:0;2018-01-04 06:00:00;max(air_temperature PT1H);-1.6;degC;PT0H
79;SN42940:0;2018-01-04 07:00:00;max(air_temperature PT1H);-2.6;degC;PT0H
80;SN42940:0;2018-01-04 08:00:00;max(air_temperature PT1H);-3.0;degC;PT0H
81;SN42940:0;2018-01-04 09:00:00;max(air_temperature PT1H);-1.9;degC;PT0H
82;SN42940:0;2018-01-04 10:00:00;max(air_temperature PT1H);-1.4;degC;PT0H
83;SN42940:0;2018-01-04 11:00:00;max(air_temperature PT1H);-0.5;degC;PT0H
84;SN42940:0;2018-01-04 12:00:00;max(air_temperature PT1H);-0.3;degC;PT0H
85;SN42940:0;2018-01-04 13:00:00;max(air_temperature PT1H);-0.2;degC;PT0H
86;SN42940:0;2018-01-04 14:00:00;max(air_temperature PT1H);-0.3;degC;PT0H
87;SN42940:0;2018-01-04 15:00:00;max(air_temperature PT1H);-0.4;degC;PT0H
88;SN42940:0;2018-01-04 16:00:00;max(air_temperature PT1H);-0.6;degC;PT0H
89;SN42940:0;2018-01-04 17:00:00;max(air_temperature PT1H);-0.8;degC;PT0H
90;SN42940:0;2018-01-04 18:00:00;max(air_temperature PT1H);-1.9;degC;PT0H
91;SN42940:0;2018-01-04 19:00:00;max(air_temperature PT1H);-2.1;degC;PT0H
92;SN42940:0;2018-01-04 20:00:00;max(air_temperature PT1H);-1.0;degC;PT0H
93;SN42940:0;2018-01-04 21:00:00;max(air_temperature PT1H);-0.8;degC;PT0H
