,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
0,2018-01-01 00:00:00,8.0,50,60,10
1,2018-01-01 01:00:00,7.5,50,60,10
2,2018-01-01 02:00:00,9.0,50,60,10
3,2018-01-01 03:00:00,8.0,50,60,10
4,2018-01-01 04:00:00,5.0,50,60,10
5,2018-01-01 05:00:00,6.0,50,60,10
6,2018-01-01 06:00:00,6.0,50,60,10
7,2018-01-01 07:00:00,5.5,50,60,10
8,2018-01-01 08:00:00,6.0,50,60,10
9,2018-01-01 09:00:00,6.5,50,60,10
10,2018-01-01 10:00:00,10.5,50,60,10
11,2018-01-01 11:00:00,11.5,50,60,10
12,2018-01-01 12:00:00,9.0,50,60,10
13,2018-01-01 13:00:00,8.0,50,60,10
14,2018-01-01 14:00:00,8.5,50,60,10
15,2018-01-01 15:00:00,11.0,50,60,10
16,2018-01-01 16:00:00,5.5,50,60,10
17,2018-01-01 17:00:00,5.5,50,60,10
18,2018-01-01 18:00:00,6.5,50,60,10
19,2018-01-01 19:00:00,7.5,50,60,10
20,2018-01-01 20:00:00,8.5,50,60,10
21,2018-01-01 21:00:00,8.0,50,60,10
22,2018-01-01 22:00:00,7.5,50,60,10
23,2018-01-01 23:00:00,4.0,50,60,10
24,2018-01-02 00:00:00,2.0,50,60,10
25,2018-01-02 01:00:00,4.0,50,60,10
26,2018-01-02 02:00:00,3.0,50,60,10
27,2018-01-02 03:00:00,3.0,50,60,10
28,2018-01-02 04:00:00,4.5,50,60,10
29,2018-01-02 05:00:00,3.0,50,60,10
30,2018-01-02 06:00:00,3.0,50,60,10
31,2018-01-02 07:00:00,4.0,50,60,10
32,2018-01-02 08:00:00,4.5,50,60,10
33,2018-01-02 09:00:00,8.5,50,60,10
34,2018-01-02 10:00:00,7.5,50,60,10
35,2018-01-02 11:00:00,7.5,50,60,10
36,2018-01-02 12:00:00,8.5,50,60,10
37,2018-01-02 13:00:00,10.0,50,60,10
38,2018-01-02 14:00:00,8.0,50,60,10
39,2018-01-02 15:00:00,7.5,50,60,10
40,2018-01-02 16:00:00,11.0,50,60,10
41,2018-01-02 17:00:00,9.0,50,60,10
42,2018-01-02 18:00:00,12.5,50,60,10
43,2018-01-02 19:00:00,10.5,50,60,10
44,2018-01-02 20:00:00,11.0,50,60,10
45,2018-01-02 21:00:00,10.5,50,60,10
46,2018-01-02 22:00:00,9.5,50,60,10
47,2018-01-02 23:00:00,6.5,50,60,10
48,2018-01-03 00:00:00,4.0,50,60,10
49,2018-01-03 01:00:00,3.5,50,60,10
50,2018-01-03 02:00:00,4.0,50,60,10
