,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
2,2018-01-02 17:00:00,16,1250,1500,7
3,2018-01-02 18:00:00,225,1250,1500,7
4,2018-01-02 19:00:00,165,1250,1500,7
5,2018-01-02 20:00:00,180,1250,1500,7
6,2018-01-02 21:00:00,175,1250,1500,7
7,2018-01-02 22:00:00,180,1250,1500,7
8,2018-01-02 23:00:00,195,1250,1500,7
9,2018-01-03 00:00:00,185,1250,1500,7
10,2018-01-03 01:00:00,185,1250,1500,7
11,2018-01-03 02:00:00,180,1250,1500,7
12,2018-01-03 03:00:00,175,1250,1500,7
13,2018-01-03 04:00:00,185,1250,1500,7
14,2018-01-03 05:00:00,165,1250,1500,7
15,2018-01-03 06:00:00,175,1250,1500,7
16,2018-01-03 07:00:00,205,1250,1500,7
17,2018-01-03 08:00:00,265,1250,1500,7
18,2018-01-03 09:00:00,255,1250,1500,7
19,2018-01-03 10:00:00,320,1250,1500,7
20,2018-01-03 11:00:00,240,1250,1500,7
21,2018-01-03 12:00:00,215,1250,1500,7
22,2018-01-03 13:00:00,245,1250,1500,7
23,2018-01-03 14:00:00,240,1250,1500,7
24,2018-01-03 15:00:00,235,1250,1500,7
25,2018-01-03 16:00:00,250,1250,1500,7
26,2018-01-03 17:00:00,305,1250,1500,7
27,2018-01-03 18:00:00,245,1250,1500,7
28,2018-01-03 19:00:00,190,1250,1500,7
29,2018-01-03 20:00:00,90,1250,1500,7
30,2018-01-03 21:00:00,135,1250,1500,7
31,2018-01-03 22:00:00,135,1250,1500,7
32,2018-01-03 23:00:00,130,1250,1500,7
33,2018-01-04 00:00:00,135,1250,1500,7
34,2018-01-04 01:00:00,130,1250,1500,7
35,2018-01-04 02:00:00,130,1250,1500,7
36,2018-01-04 03:00:00,155,1250,1500,7
37,2018-01-04 04:00:00,130,1250,1500,7
38,2018-01-04 05:00:00,160,1250,1500,7
39,2018-01-04 06:00:00,125,1250,1500,7
40,2018-01-04 07:00:00,195,1250,1500,7
41,2018-01-04 08:00:00,210,1250,1500,7
42,2018-01-04 09:00:00,270,1250,1500,7
43,2018-01-04 10:00:00,210,1250,1500,7
44,2018-01-04 11:00:00,225,1250,1500,7
45,2018-01-04 12:00:00,200,1250,1500,7
46,2018-01-04 13:00:00,225,1250,1500,7
47,2018-01-04 14:00:00,265,1250,1500,7
48,2018-01-04 15:00:00,260,1250,1500,7
49,2018-01-04 16:00:00,280,1250,1500,7
50,2018-01-04 17:00:00,160,1250,1500,7
51,2018-01-04 18:00:00,135,1250,1500,7
52,2018-01-04 19:00:00,130,1250,1500,7
53,2018-01-04 20:00:00,125,1250,1500,7
54,2018-01-04 21:00:00,130,1250,1500,7
55,2018-01-04 22:00:00,130,1250,1500,7
56,2018-01-04 23:00:00,140,1250,1500,7
57,2018-01-05 00:00:00,140,1250,1500,7
58,2018-01-05 01:00:00,135,1250,1500,7
59,2018-01-05 02:00:00,135,1250,1500,7
60,2018-01-05 03:00:00,135,1250,1500,7
61,2018-01-05 04:00:00,135,1250,1500,7
62,2018-01-05 05:00:00,140,1250,1500,7
63,2018-01-05 06:00:00,145,1250,1500,7
64,2018-01-05 07:00:00,210,1250,1500,7
65,2018-01-05 08:00:00,225,1250,1500,7
66,2018-01-05 09:00:00,230,1250,1500,7
67,2018-01-05 10:00:00,220,1250,1500,7
68,2018-01-05 11:00:00,245,1250,1500,7
69,2018-01-05 12:00:00,340,1250,1500,7
70,2018-01-05 13:00:00,350,1250,1500,7
71,2018-01-05 14:00:00,320,1250,1500,7
72,2018-01-05 15:00:00,310,1250,1500,7
73,2018-01-05 16:00:00,240,1250,1500,7
74,2018-01-05 17:00:00,195,1250,1500,7
75,2018-01-05 18:00:00,180,1250,1500,7
76,2018-01-05 19:00:00,145,1250,1500,7
77,2018-01-05 20:00:00,145,1250,1500,7
78,2018-01-05 21:00:00,115,1250,1500,7
79,2018-01-05 22:00:00,130,1250,1500,7
80,2018-01-05 23:00:00,140,1250,1500,7
81,2018-01-06 00:00:00,140,1250,1500,7
82,2018-01-06 01:00:00,130,1250,1500,7
83,2018-01-06 02:00:00,135,1250,1500,7
84,2018-01-06 03:00:00,150,1250,1500,7
85,2018-01-06 04:00:00,140,1250,1500,7
86,2018-01-06 05:00:00,160,1250,1500,7
87,2018-01-06 06:00:00,135,1250,1500,7
88,2018-01-06 07:00:00,160,1250,1500,7
89,2018-01-06 08:00:00,185,1250,1500,7
90,2018-01-06 09:00:00,185,1250,1500,7
91,2018-01-06 10:00:00,190,1250,1500,7
92,2018-01-06 11:00:00,165,1250,1500,7
93,2018-01-06 12:00:00,195,1250,1500,7
94,2018-01-06 13:00:00,170,1250,1500,7
95,2018-01-06 14:00:00,185,1250,1500,7
96,2018-01-06 15:00:00,195,1250,1500,7
97,2018-01-06 16:00:00,315,1250,1500,7
98,2018-01-06 17:00:00,260,1250,1500,7
