,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
2,2018-01-01 00:00:00,35.2,200,240,19
3,2018-01-01 01:00:00,30.4,200,240,19
4,2018-01-01 02:00:00,27.2,200,240,19
5,2018-01-01 03:00:00,30.4,200,240,19
6,2018-01-01 04:00:00,32,200,240,19
7,2018-01-01 05:00:00,30.4,200,240,19
8,2018-01-01 06:00:00,33.6,200,240,19
9,2018-01-01 07:00:00,41.6,200,240,19
10,2018-01-01 08:00:00,33.6,200,240,19
11,2018-01-01 09:00:00,33.6,200,240,19
12,2018-01-01 10:00:00,35.2,200,240,19
13,2018-01-01 11:00:00,38.4,200,240,19
14,2018-01-01 12:00:00,30.4,200,240,19
15,2018-01-01 13:00:00,32,200,240,19
16,2018-01-01 14:00:00,32,200,240,19
17,2018-01-01 15:00:00,36.8,200,240,19
18,2018-01-01 16:00:00,35.2,200,240,19
19,2018-01-01 17:00:00,36.8,200,240,19
20,2018-01-01 18:00:00,43.2,200,240,19
21,2018-01-01 19:00:00,40,200,240,19
22,2018-01-01 20:00:00,44.8,200,240,19
23,2018-01-01 21:00:00,41.6,200,240,19
24,2018-01-01 22:00:00,44.8,200,240,19
25,2018-01-01 23:00:00,35.2,200,240,19
26,2018-01-02 00:00:00,35.2,200,240,19
27,2018-01-02 01:00:00,30.4,200,240,19
28,2018-01-02 02:00:00,25.6,200,240,19
29,2018-01-02 03:00:00,27.2,200,240,19
30,2018-01-02 04:00:00,27.2,200,240,19
31,2018-01-02 05:00:00,27.2,200,240,19
32,2018-01-02 06:00:00,33.6,200,240,19
33,2018-01-02 07:00:00,41.6,200,240,19
34,2018-01-02 08:00:00,43.2,200,240,19
35,2018-01-02 09:00:00,43.2,200,240,19
36,2018-01-02 10:00:00,41.6,200,240,19
37,2018-01-02 11:00:00,38.4,200,240,19
38,2018-01-02 12:00:00,33.6,200,240,19
39,2018-01-02 13:00:00,30.4,200,240,19
40,2018-01-02 14:00:00,35.2,200,240,19
41,2018-01-02 15:00:00,28.8,200,240,19
42,2018-01-02 16:00:00,32,200,240,19
43,2018-01-02 17:00:00,41.6,200,240,19
44,2018-01-02 18:00:00,36.8,200,240,19
45,2018-01-02 19:00:00,40,200,240,19
46,2018-01-02 20:00:00,48,200,240,19
47,2018-01-02 21:00:00,44.8,200,240,19
48,2018-01-02 22:00:00,48,200,240,19
49,2018-01-02 23:00:00,32,200,240,19
50,2018-01-03 00:00:00,35.2,200,240,19
51,2018-01-03 01:00:00,32,200,240,19
52,2018-01-03 02:00:00,28.8,200,240,19
53,2018-01-03 03:00:00,25.6,200,240,19
54,2018-01-03 04:00:00,32,200,240,19
55,2018-01-03 05:00:00,32,200,240,19
56,2018-01-03 06:00:00,41.6,200,240,19
57,2018-01-03 07:00:00,43.2,200,240,19
58,2018-01-03 08:00:00,38.4,200,240,19
59,2018-01-03 09:00:00,36.8,200,240,19
60,2018-01-03 10:00:00,41.6,200,240,19
61,2018-01-03 11:00:00,38.4,200,240,19
62,2018-01-03 12:00:00,38.4,200,240,19
63,2018-01-03 13:00:00,36.8,200,240,19
64,2018-01-03 14:00:00,32,200,240,19
65,2018-01-03 15:00:00,33.6,200,240,19
66,2018-01-03 16:00:00,35.2,200,240,19
67,2018-01-03 17:00:00,40,200,240,19
68,2018-01-03 18:00:00,41.6,200,240,19
69,2018-01-03 19:00:00,44.8,200,240,19
70,2018-01-03 20:00:00,48,200,240,19
71,2018-01-03 21:00:00,49.6,200,240,19
72,2018-01-03 22:00:00,43.2,200,240,19
73,2018-01-03 23:00:00,43.2,200,240,19
74,2018-01-04 00:00:00,36.8,200,240,19
75,2018-01-04 01:00:00,33.6,200,240,19
76,2018-01-04 02:00:00,32,200,240,19
77,2018-01-04 03:00:00,27.2,200,240,19
78,2018-01-04 04:00:00,28.8,200,240,19
79,2018-01-04 05:00:00,30.4,200,240,19
80,2018-01-04 06:00:00,40,200,240,19
81,2018-01-04 07:00:00,51.2,200,240,19
82,2018-01-04 08:00:00,46.4,200,240,19
83,2018-01-04 09:00:00,41.6,200,240,19
84,2018-01-04 10:00:00,36.8,200,240,19
85,2018-01-04 11:00:00,35.2,200,240,19
86,2018-01-04 12:00:00,38.4,200,240,19
87,2018-01-04 13:00:00,30.4,200,240,19
88,2018-01-04 14:00:00,35.2,200,240,19
89,2018-01-04 15:00:00,36.8,200,240,19
90,2018-01-04 16:00:00,33.6,200,240,19
91,2018-01-04 17:00:00,36.8,200,240,19
92,2018-01-04 18:00:00,44.8,200,240,19
93,2018-01-04 19:00:00,44.8,200,240,19
94,2018-01-04 20:00:00,48,200,240,19
95,2018-01-04 21:00:00,52.8,200,240,19
96,2018-01-04 22:00:00,41.6,200,240,19
97,2018-01-04 23:00:00,40,200,240,19
98,2018-01-05 00:00:00,41.6,200,240,19
99,2018-01-05 01:00:00,38.4,200,240,19
100,2018-01-05 02:00:00,46.4,200,240,19
101,2018-01-05 03:00:00,28.8,200,240,19
102,2018-01-05 04:00:00,28.8,200,240,19
103,2018-01-05 05:00:00,35.2,200,240,19
104,2018-01-05 06:00:00,38.4,200,240,19
105,2018-01-05 07:00:00,43.2,200,240,19
106,2018-01-05 08:00:00,43.2,200,240,19
107,2018-01-05 09:00:00,43.2,200,240,19
108,2018-01-05 10:00:00,46.4,200,240,19
109,2018-01-05 11:00:00,32,200,240,19
110,2018-01-05 12:00:00,32,200,240,19
111,2018-01-05 13:00:00,43.2,200,240,19
112,2018-01-05 14:00:00,35.2,200,240,19
113,2018-01-05 15:00:00,30.4,200,240,19
114,2018-01-05 16:00:00,33.6,200,240,19
115,2018-01-05 17:00:00,40,200,240,19
116,2018-01-05 18:00:00,52.8,200,240,19
117,2018-01-05 19:00:00,54.4,200,240,19
118,2018-01-05 20:00:00,52.8,200,240,19
119,2018-01-05 21:00:00,48,200,240,19
120,2018-01-05 22:00:00,48,200,240,19
121,2018-01-05 23:00:00,46.4,200,240,19
122,2018-01-06 00:00:00,54.4,200,240,19
123,2018-01-06 01:00:00,41.6,200,240,19
124,2018-01-06 02:00:00,33.6,200,240,19
125,2018-01-06 03:00:00,32,200,240,19
126,2018-01-06 04:00:00,33.6,200,240,19
127,2018-01-06 05:00:00,36.8,200,240,19
128,2018-01-06 06:00:00,35.2,200,240,19
129,2018-01-06 07:00:00,40,200,240,19
130,2018-01-06 08:00:00,38.4,200,240,19
131,2018-01-06 09:00:00,48,200,240,19
132,2018-01-06 10:00:00,48,200,240,19
133,2018-01-06 11:00:00,44.8,200,240,19
134,2018-01-06 12:00:00,38.4,200,240,19
135,2018-01-06 13:00:00,41.6,200,240,19
136,2018-01-06 14:00:00,43.2,200,240,19
137,2018-01-06 15:00:00,36.8,200,240,19
138,2018-01-06 16:00:00,40,200,240,19
139,2018-01-06 17:00:00,46.4,200,240,19
140,2018-01-06 18:00:00,49.6,200,240,19
141,2018-01-06 19:00:00,49.6,200,240,19
142,2018-01-06 20:00:00,40,200,240,19
143,2018-01-06 21:00:00,40,200,240,19
144,2018-01-06 22:00:00,43.2,200,240,19
145,2018-01-06 23:00:00,40,200,240,19
146,2018-01-07 00:00:00,36.8,200,240,19
147,2018-01-07 01:00:00,38.4,200,240,19
148,2018-01-07 02:00:00,33.6,200,240,19
149,2018-01-07 03:00:00,36.8,200,240,19
150,2018-01-07 04:00:00,43.2,200,240,19
151,2018-01-07 05:00:00,49.6,200,240,19
152,2018-01-07 06:00:00,64,200,240,19
153,2018-01-07 07:00:00,59.2,200,240,19
154,2018-01-07 08:00:00,60.8,200,240,19
155,2018-01-07 09:00:00,59.2,200,240,19
156,2018-01-07 10:00:00,56,200,240,19
157,2018-01-07 11:00:00,56,200,240,19
158,2018-01-07 12:00:00,44.8,200,240,19
159,2018-01-07 13:00:00,40,200,240,19
160,2018-01-07 14:00:00,46.4,200,240,19
161,2018-01-07 15:00:00,49.6,200,240,19
162,2018-01-07 16:00:00,43.2,200,240,19
163,2018-01-07 17:00:00,46.4,200,240,19
164,2018-01-07 18:00:00,48,200,240,19
165,2018-01-07 19:00:00,52.8,200,240,19
166,2018-01-07 20:00:00,57.6,200,240,19
167,2018-01-07 21:00:00,52.8,200,240,19
168,2018-01-07 22:00:00,40,200,240,19
169,2018-01-07 23:00:00,41.6,200,240,19
170,2018-01-08 00:00:00,38.4,200,240,19
171,2018-01-08 01:00:00,27.2,200,240,19
172,2018-01-08 02:00:00,30.4,200,240,19
173,2018-01-08 03:00:00,27.2,200,240,19
174,2018-01-08 04:00:00,25.6,200,240,19
175,2018-01-08 05:00:00,27.2,200,240,19
176,2018-01-08 06:00:00,28.8,200,240,19
