,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
2,2018-09-03 11:00:00,0,50,60,15
3,2018-09-03 12:00:00,4,50,60,15
4,2018-09-03 13:00:00,3.5,50,60,15
5,2018-09-03 14:00:00,3.5,50,60,15
6,2018-09-03 15:00:00,4.5,50,60,15
7,2018-09-03 16:00:00,3,50,60,15
8,2018-09-03 17:00:00,3.5,50,60,15
9,2018-09-03 18:00:00,4.5,50,60,15
10,2018-09-03 19:00:00,5,50,60,15
11,2018-09-03 20:00:00,4,50,60,15
12,2018-09-03 21:00:00,4,50,60,15
13,2018-09-03 22:00:00,4.5,50,60,15
14,2018-09-03 23:00:00,4.5,50,60,15
15,2018-09-04 00:00:00,5,50,60,15
16,2018-09-04 01:00:00,5,50,60,15
17,2018-09-04 02:00:00,5,50,60,15
18,2018-09-04 03:00:00,4,50,60,15
19,2018-09-04 04:00:00,4.5,50,60,15
20,2018-09-04 05:00:00,5,50,60,15
21,2018-09-04 06:00:00,4,50,60,15
22,2018-09-04 07:00:00,4.5,50,60,15
23,2018-09-04 08:00:00,5,50,60,15
24,2018-09-04 09:00:00,4.5,50,60,15
25,2018-09-04 10:00:00,4,50,60,15
26,2018-09-04 11:00:00,5,50,60,15
27,2018-09-04 12:00:00,4.5,50,60,15
28,2018-09-04 13:00:00,4,50,60,15
29,2018-09-04 14:00:00,5,50,60,15
30,2018-09-04 15:00:00,4.5,50,60,15
31,2018-09-04 16:00:00,4,50,60,15
32,2018-09-04 17:00:00,4.5,50,60,15
33,2018-09-04 18:00:00,6,50,60,15
34,2018-09-04 19:00:00,5.5,50,60,15
35,2018-09-04 20:00:00,5,50,60,15
36,2018-09-04 21:00:00,4.5,50,60,15
37,2018-09-04 22:00:00,4.5,50,60,15
38,2018-09-04 23:00:00,4.5,50,60,15
39,2018-09-05 00:00:00,5,50,60,15
40,2018-09-05 01:00:00,4.5,50,60,15
41,2018-09-05 02:00:00,4,50,60,15
42,2018-09-05 03:00:00,4.5,50,60,15
43,2018-09-05 04:00:00,5,50,60,15
44,2018-09-05 05:00:00,4.5,50,60,15
45,2018-09-05 06:00:00,4,50,60,15
46,2018-09-05 07:00:00,4.5,50,60,15
47,2018-09-05 08:00:00,4.5,50,60,15
48,2018-09-05 09:00:00,4.5,50,60,15
49,2018-09-05 10:00:00,5,50,60,15
50,2018-09-05 11:00:00,5,50,60,15
51,2018-09-05 12:00:00,3.5,50,60,15
52,2018-09-05 13:00:00,4,50,60,15
53,2018-09-05 14:00:00,4.5,50,60,15
54,2018-09-05 15:00:00,4,50,60,15
55,2018-09-05 16:00:00,5,50,60,15
56,2018-09-05 17:00:00,4.5,50,60,15
57,2018-09-05 18:00:00,4,50,60,15
58,2018-09-05 19:00:00,4.5,50,60,15
59,2018-09-05 20:00:00,6,50,60,15
60,2018-09-05 21:00:00,6.5,50,60,15
61,2018-09-05 22:00:00,5,50,60,15
62,2018-09-05 23:00:00,5,50,60,15
63,2018-09-06 00:00:00,6,50,60,15
64,2018-09-06 01:00:00,4.5,50,60,15
65,2018-09-06 02:00:00,4.5,50,60,15
66,2018-09-06 03:00:00,4,50,60,15
67,2018-09-06 04:00:00,5,50,60,15
68,2018-09-06 05:00:00,5,50,60,15
69,2018-09-06 06:00:00,4,50,60,15
70,2018-09-06 07:00:00,4.5,50,60,15
71,2018-09-06 08:00:00,5,50,60,15
72,2018-09-06 09:00:00,4,50,60,15
73,2018-09-06 10:00:00,5.5,50,60,15
74,2018-09-06 11:00:00,4,50,60,15
75,2018-09-06 12:00:00,4,50,60,15
76,2018-09-06 13:00:00,5.5,50,60,15
77,2018-09-06 14:00:00,5,50,60,15
78,2018-09-06 15:00:00,5,50,60,15
79,2018-09-06 16:00:00,4,50,60,15
80,2018-09-06 17:00:00,4.5,50,60,15
81,2018-09-06 18:00:00,5,50,60,15
82,2018-09-06 19:00:00,4,50,60,15
83,2018-09-06 20:00:00,4.5,50,60,15
84,2018-09-06 21:00:00,5,50,60,15
85,2018-09-06 22:00:00,4.5,50,60,15
86,2018-09-06 23:00:00,4,50,60,15
87,2018-09-07 00:00:00,5,50,60,15
88,2018-09-07 01:00:00,5.5,50,60,15
89,2018-09-07 02:00:00,4.5,50,60,15
90,2018-09-07 03:00:00,4.5,50,60,15
91,2018-09-07 04:00:00,4.5,50,60,15
92,2018-09-07 05:00:00,4.5,50,60,15
93,2018-09-07 06:00:00,4.5,50,60,15
94,2018-09-07 07:00:00,4.5,50,60,15
95,2018-09-07 08:00:00,4.5,50,60,15
96,2018-09-07 09:00:00,4.5,50,60,15
97,2018-09-07 10:00:00,5,50,60,15
98,2018-09-07 11:00:00,4,50,60,15
99,2018-09-07 12:00:00,4.5,50,60,15
100,2018-09-07 13:00:00,4,50,60,15
101,2018-09-07 14:00:00,5.5,50,60,15
102,2018-09-07 15:00:00,4.5,50,60,15
103,2018-09-07 16:00:00,4,50,60,15
104,2018-09-07 17:00:00,4,50,60,15
105,2018-09-07 18:00:00,4.5,50,60,15
106,2018-09-07 19:00:00,4,50,60,15
107,2018-09-07 20:00:00,4,50,60,15
108,2018-09-07 21:00:00,3.5,50,60,15
109,2018-09-07 22:00:00,3,50,60,15
110,2018-09-07 23:00:00,3,50,60,15
111,2018-09-08 00:00:00,4,50,60,15
112,2018-09-08 01:00:00,6,50,60,15
113,2018-09-08 02:00:00,7,50,60,15
114,2018-09-08 03:00:00,5.5,50,60,15
115,2018-09-08 04:00:00,5,50,60,15
116,2018-09-08 05:00:00,4.5,50,60,15
117,2018-09-08 06:00:00,5.5,50,60,15
118,2018-09-08 07:00:00,4.5,50,60,15
119,2018-09-08 08:00:00,5.5,50,60,15
120,2018-09-08 09:00:00,5,50,60,15
121,2018-09-08 10:00:00,5,50,60,15
122,2018-09-08 11:00:00,5,50,60,15
123,2018-09-08 12:00:00,5,50,60,15
124,2018-09-08 13:00:00,6,50,60,15
125,2018-09-08 14:00:00,5.5,50,60,15
126,2018-09-08 15:00:00,5,50,60,15
127,2018-09-08 16:00:00,4.5,50,60,15
128,2018-09-08 17:00:00,5,50,60,15
129,2018-09-08 18:00:00,4.5,50,60,15
130,2018-09-08 19:00:00,5,50,60,15
131,2018-09-08 20:00:00,6,50,60,15
132,2018-09-08 21:00:00,6,50,60,15
133,2018-09-08 22:00:00,5.5,50,60,15
134,2018-09-08 23:00:00,5.5,50,60,15
135,2018-09-09 00:00:00,5,50,60,15
136,2018-09-09 01:00:00,5.5,50,60,15
137,2018-09-09 02:00:00,5.5,50,60,15
138,2018-09-09 03:00:00,4.5,50,60,15
139,2018-09-09 04:00:00,4.5,50,60,15
140,2018-09-09 05:00:00,5.5,50,60,15
141,2018-09-09 06:00:00,6,50,60,15
142,2018-09-09 07:00:00,4.5,50,60,15
143,2018-09-09 08:00:00,5,50,60,15
144,2018-09-09 09:00:00,4.5,50,60,15
145,2018-09-09 10:00:00,5.5,50,60,15
146,2018-09-09 11:00:00,5,50,60,15
147,2018-09-09 12:00:00,4.5,50,60,15
148,2018-09-09 13:00:00,4.5,50,60,15
149,2018-09-09 14:00:00,5,50,60,15
150,2018-09-09 15:00:00,4.5,50,60,15
151,2018-09-09 16:00:00,4,50,60,15
152,2018-09-09 17:00:00,5,50,60,15
153,2018-09-09 18:00:00,5.5,50,60,15
154,2018-09-09 19:00:00,5.5,50,60,15
155,2018-09-09 20:00:00,4.5,50,60,15
156,2018-09-09 21:00:00,5,50,60,15
157,2018-09-09 22:00:00,8.5,50,60,15
158,2018-09-09 23:00:00,8,50,60,15
159,2018-09-10 00:00:00,4.5,50,60,15
160,2018-09-10 01:00:00,4.5,50,60,15
