,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA),loc_id
0,2018-07-02 16:00:00,15.0,500,600,5
1,2018-07-02 17:00:00,17.6,500,600,5
2,2018-07-02 18:00:00,16.0,500,600,5
3,2018-07-02 19:00:00,11.2,500,600,5
4,2018-07-02 20:00:00,11.2,500,600,5
5,2018-07-02 21:00:00,8.0,500,600,5
6,2018-07-02 22:00:00,6.4,500,600,5
7,2018-07-02 23:00:00,6.4,500,600,5
8,2018-07-03 00:00:00,8.0,500,600,5
9,2018-07-03 01:00:00,9.6,500,600,5
10,2018-07-03 02:00:00,6.4,500,600,5
11,2018-07-03 03:00:00,8.0,500,600,5
12,2018-07-03 04:00:00,8.0,500,600,5
13,2018-07-03 05:00:00,6.4,500,600,5
14,2018-07-03 06:00:00,4.8,500,600,5
15,2018-07-03 07:00:00,6.4,500,600,5
16,2018-07-03 08:00:00,20.8,500,600,5
17,2018-07-03 09:00:00,20.8,500,600,5
18,2018-07-03 10:00:00,22.4,500,600,5
19,2018-07-03 11:00:00,22.4,500,600,5
20,2018-07-03 12:00:00,20.8,500,600,5
21,2018-07-03 13:00:00,22.4,500,600,5
22,2018-07-03 14:00:00,20.8,500,600,5
23,2018-07-03 15:00:00,22.4,500,600,5
24,2018-07-03 16:00:00,20.8,500,600,5
25,2018-07-03 17:00:00,16.0,500,600,5
26,2018-07-03 18:00:00,6.4,500,600,5
27,2018-07-03 19:00:00,4.8,500,600,5
28,2018-07-03 20:00:00,4.8,500,600,5
29,2018-07-03 21:00:00,6.4,500,600,5
30,2018-07-03 22:00:00,9.6,500,600,5
31,2018-07-03 23:00:00,11.2,500,600,5
32,2018-07-04 00:00:00,9.6,500,600,5
33,2018-07-04 01:00:00,6.4,500,600,5
34,2018-07-04 02:00:00,8.0,500,600,5
35,2018-07-04 03:00:00,8.0,500,600,5
36,2018-07-04 04:00:00,8.0,500,600,5
37,2018-07-04 05:00:00,4.8,500,600,5
38,2018-07-04 06:00:00,4.8,500,600,5
39,2018-07-04 07:00:00,8.0,500,600,5
40,2018-07-04 08:00:00,20.8,500,600,5
41,2018-07-04 09:00:00,24.0,500,600,5
