Date,USD,EUR,SEK,DKK,GBP,CHF,JPY,CAD,ISK,AUD
04.05.2020,10.42,11.4069,105.34,152.88,13,1081.09,9.761,7.3778,7.1921,6.6683
30.04.2020,10.32,11.2269,104.91,150.53,12.862,1059.9,9.6813,7.4278,7.0465,6.7629
29.04.2020,10.41,11.2977,105.59,151.55,12.9773,1068.89,9.7725,7.4574,7.081,6.7966
28.04.2020,10.55,11.407,105.18,153,13.0925,1076.65,9.8355,7.505,7.1698,6.8112
27.04.2020,10.65,11.5492,106.33,154.87,13.249,1094.08,9.9385,7.5548,7.2817,6.8826
24.04.2020,10.67,11.4626,105.56,153.71,13.148,1089.96,9.9116,7.5745,7.2445,6.7751
23.04.2020,10.69,11.5703,106.07,155.15,13.2128,1098.96,9.9235,7.5618,7.2873,6.7894
22.04.2020,10.65,11.565,105.7,154.83,13.1063,1098.71,9.8964,7.5037,7.3187,6.7454
21.04.2020,10.49,11.3795,104.58,152.59,13.0337,1082.3,9.7702,7.3963,7.2311,6.6301
20.04.2020,10.43,11.3227,104.25,151.8,12.9946,1076.66,9.6681,7.4088,7.2327,6.6252
17.04.2020,10.42,11.311,104.12,151.45,13.0169,1074.03,9.6754,7.4145,7.2352,6.6249
16.04.2020,10.57,11.5236,105.35,154.23,13.2338,1095.37,9.8092,7.5066,7.3735,6.6538
15.04.2020,10.4,11.4033,104.23,152.85,13.0848,1081.77,9.7193,7.4563,7.3009,6.6153
14.04.2020,10.29,11.2475,103.17,150.63,12.9244,1065.25,9.5525,7.4115,7.2087,6.5944
08.04.2020,10.34,11.2247,102.64,150.18,12.7269,1063.52,9.5052,7.3457,7.2262,6.3439
07.04.2020,10.29,11.1728,102.64,149.65,12.6652,1056.45,9.4537,7.334,7.1856,6.3518
06.04.2020,10.54,11.3985,104.02,152.61,12.9128,1078.17,9.6562,7.4526,7.3308,6.3563
03.04.2020,10.41,11.2895,103.17,151.13,12.9001,1067.97,9.6528,7.3583,7.2378,6.3207
02.04.2020,10.25,11.2059,102.41,149.72,12.7083,1056.7,9.5468,7.2662,7.1784,6.2503
01.04.2020,10.51,11.539,105.07,154.61,12.9683,1087.19,9.7676,7.4096,7.3831,6.3844
31.03.2020,10.49,11.5785,103.95,154.51,12.9602,1093.36,9.6775,7.4201,7.431,6.5079
30.03.2020,10.62,11.747,106.72,157.39,13.1254,1110.02,9.818,7.534,7.6162,6.5092
27.03.2020,10.48,11.5745,105.81,155.06,12.8163,1087.66,9.6231,7.4543,7.4979,6.3747
26.03.2020,10.76,11.7575,106.32,157.38,12.8419,1105.97,9.7223,7.5606,7.6762,6.3853
25.03.2020,10.9,11.7785,108.46,157.7,12.9465,1109.48,9.811,7.5854,7.7549,6.6065
24.03.2020,11.09,12.0171,107.98,160.82,12.9576,1138.34,10.03,7.7277,7.9276,6.6196
23.03.2020,11.73,12.5984,112.27,167.87,13.7253,1193.26,10.69,8.1164,8.333,6.8187
20.03.2020,10.98,11.9201,107.87,159.58,13.0313,1129.36,10.07,7.7524,7.901,6.5704
19.03.2020,11.94,13.03,114.44,174.39,13.7971,1235.55,10.94,8.1936,8.528,6.814
18.03.2020,10.54,11.5803,106.17,154.98,12.7037,1098.01,9.832,7.4079,7.5184,6.3041
17.03.2020,10.17,11.362,104.21,152.09,12.4413,1073.09,9.544,7.2888,7.4446,6.209
16.03.2020,10.27,11.4765,105.54,153.59,12.6323,1087.9,9.6386,7.401,7.6501,6.3176
13.03.2020,10.01,11.2138,103.53,150.1,12.6176,1062.17,9.4791,7.2485,7.4933,6.3052
12.03.2020,9.8135,11.1008,102.92,148.3,12.5798,1049.28,9.4457,7.1319,7.6171,6.336
11.03.2020,9.5851,10.8576,101.19,145.31,12.3541,1024.93,9.1271,6.9892,7.4933,6.2495
10.03.2020,9.5141,10.8295,100.5,144.85,12.4319,1021.25,9.1616,6.9689,7.4233,6.2394
09.03.2020,9.5834,10.9668,102.03,146.73,12.6415,1034.97,9.3708,7.0117,7.5516,6.2754
06.03.2020,9.2926,10.4407,98.45,139.78,12.0564,984.61,8.7847,6.9363,7.3294,6.1547
05.03.2020,9.2688,10.3062,97.72,137.98,11.9333,968.77,8.6331,6.9143,7.2594,6.1426
04.03.2020,9.2643,10.3371,98.03,138.35,11.852,966.78,8.6165,6.9312,7.2713,6.1187
03.03.2020,9.317,10.3568,97.77,138.58,11.9262,971.38,8.6234,6.9717,7.2906,6.1037
02.03.2020,9.3432,10.3376,97.98,138.34,11.9674,968.08,8.6145,7.0008,7.3991,6.1136
28.02.2020,9.4851,10.4288,97.71,139.58,12.2029,980.21,8.709,7.055,7.4898,6.1938
27.02.2020,9.3871,10.2569,96.86,137.21,12.1382,964.45,8.5307,7.0417,7.3596,6.1643
26.02.2020,9.3844,10.2017,96.55,136.56,12.1865,961.14,8.4945,7.0631,7.3241,6.1705
25.02.2020,9.3441,10.1414,96.17,135.76,12.1051,954.54,8.44,7.0348,7.2802,6.1759
24.02.2020,9.3661,10.1312,95.73,135.65,12.1216,954.82,8.3968,7.051,7.3153,6.1767
21.02.2020,9.3543,10.1035,95.24,135.32,12.063,951.93,8.3756,7.0587,7.3126,6.1701
20.02.2020,9.3093,10.0458,94.9,134.51,12.0098,946.53,8.3358,7.0297,7.2849,6.1823
19.02.2020,9.2926,10.0414,95.13,134.43,12.0918,945.76,8.4416,7.0228,7.3009,6.2304
18.02.2020,9.314,10.089,95.72,135.08,12.1043,950.19,8.4906,7.0271,7.3269,6.2259
17.02.2020,9.2435,10.022,95.23,134.15,12.051,941.31,8.4141,6.9809,7.2881,6.2209
14.02.2020,9.2552,10.0338,95.64,134.29,12.0857,943.99,8.4304,6.9832,7.2861,6.2284
13.02.2020,9.2605,10.0772,96.07,134.87,12.0214,948.3,8.4389,6.9864,7.3058,6.2278
12.02.2020,9.2263,10.07,95.85,134.79,11.9635,945.36,8.3944,6.9495,7.3007,6.211
11.02.2020,9.2675,10.117,95.94,135.36,11.9645,947.74,8.4338,6.9735,7.3345,6.2201
10.02.2020,9.2392,10.1142,95.73,135.35,11.8947,945.05,8.4138,6.9491,7.3447,6.1862
07.02.2020,9.2545,10.1492,95.91,135.83,11.9696,948.47,8.419,6.9545,7.3489,6.2049
06.02.2020,9.2055,10.1281,96.03,135.56,11.9503,945.1,8.3756,6.9329,7.3339,6.2149
05.02.2020,9.2478,10.2066,96.28,136.59,12.0569,954.67,8.4554,6.9561,7.4036,6.2338
04.02.2020,9.2548,10.2304,95.97,136.91,11.9857,955.98,8.4987,6.9654,7.4381,6.217
03.02.2020,9.1978,10.1867,95.6,136.32,12.0897,953.58,8.4677,6.9482,7.4621,6.1633
31.01.2020,9.2024,10.1482,95.31,135.8,12.0816,948.32,8.436,6.9612,7.4562,6.1755
30.01.2020,9.2144,10.1489,95.59,135.81,11.9817,947.74,8.4661,6.9717,7.4541,6.1997
29.01.2020,9.1304,10.0478,94.84,134.44,11.879,937.67,8.3688,6.932,7.3449,6.1695
