,price_oil,price_el
2020-04-04,253.2753,51.00083
2020-04-05,253.2753,49.30417
2020-04-06,237.9932,49.728333
2020-04-07,227.409,50.312084
2020-04-08,260.7748,50.637085
2020-04-09,209.1782,51.915417
2020-04-10,209.1782,55.564167
2020-04-11,209.1782,55.635418
2020-04-12,209.1782,43.607082
2020-04-13,209.1782,27.426666
2020-04-14,223.7046,52.5725
2020-04-15,205.92,51.161667
2020-04-16,197.5533,51.888332
2020-04-17,205.795,56.3625
2020-04-18,205.795,57.28875
2020-04-19,205.795,54.580833
2020-04-20,181.0648,56.7825
2020-04-21,95.6688,51.859165
2020-04-22,146.6505,60.010418
2020-04-23,160.9914,57.275833
2020-04-24,169.3329,55.822502
2020-04-25,169.3329,55.680832
2020-04-26,169.3329,55.851665
2020-04-27,161.5605,61.115833
2020-04-28,164.58,62.503334
2020-04-29,,60.369167
2020-04-30,,58.196667
2020-05-01,,57.142082
2020-05-02,,65.153336
2020-05-03,,66.63042
2020-05-04,,75.763336
